FrameNumber,ROI
1,"[320, 18, 715, 540]"
2,"[324, 18, 709, 540]"
3,"[325, 17, 707, 540]"
4,"[325, 15, 704, 540]"
5,"[325, 15, 702, 540]"
6,"[329, 16, 701, 539]"
7,"[329, 16, 699, 539]"
8,"[329, 16, 696, 539]"
9,"[331, 16, 694, 539]"
10,"[332, 16, 694, 539]"
11,"[334, 16, 692, 540]"
12,"[334, 15, 692, 541]"
13,"[336, 15, 692, 541]"
14,"[338, 15, 693, 542]"
15,"[339, 15, 694, 542]"
16,"[341, 14, 694, 542]"
17,"[345, 13, 696, 542]"
18,"[345, 13, 699, 542]"
19,"[349, 14, 699, 540]"
20,"[350, 14, 700, 540]"
21,"[351, 14, 700, 540]"
22,"[354, 14, 699, 540]"
23,"[357, 14, 699, 540]"
24,"[357, 14, 699, 540]"
25,"[357, 14, 697, 540]"
26,"[357, 13, 697, 540]"
27,"[357, 13, 697, 540]"
28,"[357, 13, 697, 540]"
29,"[352, 13, 698, 540]"
30,"[352, 14, 699, 539]"
31,"[352, 14, 699, 539]"
32,"[353, 15, 696, 538]"
33,"[353, 16, 696, 538]"
34,"[351, 17, 696, 539]"
35,"[349, 17, 699, 539]"
36,"[347, 18, 701, 539]"
37,"[347, 20, 702, 538]"
38,"[345, 20, 702, 539]"
39,"[344, 20, 702, 540]"
40,"[343, 20, 702, 540]"
41,"[343, 21, 702, 540]"
42,"[344, 20, 702, 541]"
43,"[344, 20, 701, 541]"
44,"[344, 21, 701, 540]"
45,"[345, 20, 701, 539]"
46,"[346, 20, 702, 539]"
47,"[346, 21, 702, 540]"
48,"[346, 21, 703, 540]"
49,"[346, 21, 705, 539]"
50,"[344, 21, 705, 539]"
51,"[343, 20, 705, 539]"
52,"[342, 20, 703, 539]"
53,"[341, 19, 703, 539]"
54,"[341, 19, 702, 539]"
55,"[342, 19, 702, 539]"
56,"[342, 19, 702, 539]"
57,"[342, 19, 702, 539]"
58,"[342, 19, 702, 539]"
59,"[342, 19, 701, 539]"
60,"[342, 19, 701, 539]"
61,"[341, 19, 699, 539]"
62,"[341, 19, 699, 539]"
63,"[342, 19, 699, 539]"
64,"[343, 19, 698, 539]"
65,"[344, 19, 698, 539]"
66,"[343, 19, 698, 539]"
67,"[342, 20, 698, 539]"
68,"[342, 20, 698, 539]"
69,"[343, 20, 698, 539]"
70,"[342, 20, 698, 539]"
71,"[342, 19, 698, 539]"
72,"[343, 19, 698, 539]"
73,"[343, 19, 698, 539]"
74,"[343, 19, 699, 539]"
75,"[343, 19, 699, 539]"
76,"[344, 19, 699, 539]"
77,"[344, 19, 698, 539]"
78,"[344, 19, 699, 539]"
79,"[345, 19, 699, 539]"
80,"[344, 19, 699, 539]"
81,"[344, 19, 699, 539]"
82,"[345, 19, 699, 539]"
83,"[345, 19, 699, 539]"
84,"[345, 19, 698, 539]"
85,"[345, 20, 699, 539]"
86,"[345, 20, 699, 539]"
87,"[345, 20, 698, 539]"
88,"[345, 20, 698, 539]"
89,"[345, 20, 698, 539]"
90,"[345, 20, 698, 539]"
91,"[345, 20, 698, 539]"
92,"[345, 20, 698, 539]"
93,"[345, 20, 698, 539]"
94,"[345, 20, 698, 539]"
95,"[345, 20, 698, 539]"
96,"[346, 20, 699, 539]"
97,"[347, 20, 699, 539]"
98,"[347, 20, 699, 539]"
99,"[346, 20, 699, 539]"
100,"[346, 20, 699, 539]"
101,"[345, 20, 699, 539]"
102,"[345, 20, 699, 539]"
103,"[345, 20, 699, 539]"
104,"[345, 20, 699, 539]"
105,"[345, 20, 698, 539]"
106,"[345, 20, 698, 539]"
107,"[345, 20, 698, 539]"
108,"[345, 19, 698, 539]"
109,"[345, 19, 697, 539]"
110,"[345, 19, 697, 539]"
111,"[345, 19, 698, 539]"
112,"[345, 19, 698, 539]"
113,"[345, 19, 698, 539]"
114,"[345, 19, 698, 539]"
115,"[345, 19, 698, 539]"
116,"[345, 19, 698, 539]"
117,"[345, 19, 698, 539]"
118,"[345, 19, 697, 539]"
119,"[345, 19, 697, 539]"
120,"[346, 19, 697, 539]"
121,"[345, 19, 697, 539]"
122,"[345, 19, 697, 539]"
123,"[345, 19, 697, 539]"
124,"[345, 19, 697, 539]"
125,"[345, 19, 697, 539]"
126,"[345, 19, 697, 539]"
127,"[344, 19, 697, 539]"
128,"[344, 19, 697, 539]"
129,"[345, 19, 697, 539]"
130,"[345, 19, 697, 539]"
131,"[345, 19, 697, 539]"
132,"[345, 19, 697, 539]"
133,"[346, 19, 697, 539]"
134,"[345, 19, 697, 539]"
135,"[345, 19, 697, 539]"
136,"[345, 19, 697, 539]"
137,"[345, 19, 697, 539]"
138,"[345, 19, 697, 539]"
139,"[345, 19, 697, 539]"
140,"[345, 19, 697, 539]"
141,"[345, 19, 698, 539]"
142,"[345, 19, 698, 539]"
143,"[346, 18, 697, 539]"
144,"[346, 18, 697, 539]"
145,"[346, 18, 697, 539]"
146,"[346, 18, 697, 539]"
147,"[346, 18, 698, 539]"
148,"[346, 18, 699, 539]"
149,"[346, 18, 699, 539]"
150,"[346, 18, 699, 539]"
151,"[346, 19, 698, 539]"
152,"[346, 19, 698, 539]"
153,"[346, 19, 699, 539]"
154,"[346, 19, 699, 539]"
155,"[346, 18, 699, 539]"
156,"[346, 18, 698, 539]"
157,"[345, 18, 699, 539]"
158,"[345, 19, 699, 539]"
159,"[345, 19, 699, 539]"
160,"[346, 19, 699, 539]"
161,"[345, 18, 699, 539]"
162,"[345, 18, 699, 539]"
163,"[345, 18, 699, 539]"
164,"[345, 18, 699, 539]"
165,"[345, 18, 699, 538]"
166,"[345, 18, 699, 539]"
167,"[345, 19, 698, 539]"
168,"[346, 18, 697, 539]"
169,"[346, 18, 696, 539]"
170,"[346, 19, 696, 539]"
171,"[346, 19, 696, 539]"
172,"[345, 19, 696, 539]"
173,"[345, 19, 697, 539]"
174,"[345, 19, 697, 539]"
175,"[345, 20, 697, 539]"
176,"[345, 20, 696, 539]"
177,"[345, 20, 697, 539]"
178,"[344, 20, 697, 539]"
179,"[344, 20, 698, 539]"
180,"[345, 19, 698, 539]"
181,"[345, 19, 696, 539]"
182,"[345, 19, 697, 539]"
183,"[345, 19, 697, 539]"
184,"[344, 19, 697, 539]"
185,"[344, 19, 697, 539]"
186,"[345, 19, 697, 539]"
187,"[344, 19, 697, 539]"
188,"[344, 19, 697, 539]"
189,"[344, 19, 697, 539]"
190,"[344, 19, 697, 539]"
191,"[344, 19, 697, 539]"
192,"[344, 18, 697, 540]"
193,"[344, 18, 696, 540]"
194,"[344, 18, 697, 540]"
195,"[345, 18, 697, 540]"
196,"[345, 18, 697, 540]"
197,"[344, 18, 697, 540]"
198,"[344, 18, 697, 540]"
199,"[344, 18, 697, 540]"
200,"[343, 18, 697, 540]"
201,"[343, 18, 697, 540]"
202,"[344, 18, 697, 540]"
203,"[344, 18, 697, 540]"
204,"[344, 18, 697, 540]"
205,"[343, 18, 696, 540]"
206,"[343, 18, 696, 540]"
207,"[344, 18, 696, 540]"
208,"[344, 18, 696, 540]"
209,"[343, 18, 696, 540]"
210,"[343, 18, 697, 540]"
211,"[344, 18, 697, 540]"
212,"[344, 18, 697, 540]"
213,"[344, 18, 697, 540]"
214,"[344, 18, 697, 539]"
215,"[345, 18, 697, 539]"
216,"[345, 18, 698, 539]"
217,"[344, 18, 698, 539]"
218,"[344, 18, 697, 539]"
219,"[344, 18, 697, 539]"
220,"[344, 18, 697, 539]"
221,"[344, 18, 697, 539]"
222,"[344, 18, 697, 540]"
223,"[345, 18, 697, 540]"
224,"[346, 18, 697, 540]"
225,"[346, 18, 697, 540]"
226,"[346, 18, 697, 539]"
227,"[347, 19, 698, 540]"
228,"[347, 19, 699, 540]"
229,"[346, 19, 699, 540]"
230,"[346, 19, 698, 539]"
231,"[346, 19, 698, 539]"
232,"[346, 19, 698, 539]"
233,"[346, 19, 698, 540]"
234,"[346, 19, 699, 540]"
235,"[347, 19, 699, 540]"
236,"[347, 19, 698, 540]"
237,"[347, 19, 698, 539]"
238,"[347, 19, 698, 539]"
239,"[347, 19, 699, 539]"
240,"[346, 19, 699, 539]"
241,"[346, 19, 699, 539]"
242,"[346, 19, 699, 539]"
243,"[346, 19, 698, 539]"
244,"[346, 19, 698, 539]"
245,"[345, 19, 698, 539]"
246,"[345, 19, 699, 539]"
247,"[346, 19, 699, 540]"
248,"[346, 19, 699, 540]"
249,"[346, 19, 699, 539]"
250,"[345, 19, 698, 539]"
251,"[345, 19, 698, 539]"
252,"[345, 19, 699, 540]"
253,"[347, 19, 699, 540]"
254,"[347, 19, 699, 540]"
255,"[347, 19, 699, 540]"
256,"[347, 19, 698, 540]"
257,"[346, 19, 698, 540]"
258,"[346, 18, 698, 540]"
259,"[346, 18, 698, 540]"
260,"[346, 18, 698, 540]"
261,"[346, 18, 698, 539]"
262,"[346, 19, 699, 540]"
263,"[347, 18, 699, 540]"
264,"[345, 18, 699, 540]"
265,"[345, 19, 699, 540]"
266,"[345, 19, 699, 539]"
267,"[345, 19, 699, 539]"
268,"[345, 19, 698, 539]"
269,"[345, 19, 698, 539]"
270,"[345, 18, 698, 539]"
271,"[345, 18, 698, 539]"
272,"[345, 18, 699, 539]"
273,"[346, 19, 699, 539]"
274,"[345, 19, 699, 539]"
275,"[345, 19, 699, 539]"
276,"[346, 19, 699, 539]"
277,"[345, 19, 700, 539]"
278,"[345, 19, 700, 539]"
279,"[345, 19, 699, 539]"
280,"[345, 19, 699, 539]"
281,"[345, 19, 698, 539]"
282,"[346, 18, 698, 539]"
283,"[346, 18, 698, 539]"
284,"[346, 19, 698, 539]"
285,"[345, 19, 698, 539]"
286,"[345, 19, 698, 539]"
287,"[345, 19, 698, 539]"
288,"[346, 19, 699, 539]"
289,"[346, 19, 699, 539]"
290,"[346, 19, 700, 539]"
291,"[346, 19, 700, 539]"
292,"[346, 19, 700, 539]"
293,"[346, 19, 699, 539]"
294,"[346, 19, 699, 539]"
295,"[346, 19, 698, 539]"
296,"[346, 19, 698, 539]"
297,"[346, 19, 698, 539]"
298,"[346, 19, 699, 539]"
299,"[346, 19, 699, 539]"
300,"[345, 19, 699, 539]"
301,"[345, 19, 699, 539]"
302,"[345, 19, 699, 540]"
303,"[346, 19, 699, 540]"
304,"[346, 19, 699, 540]"
305,"[346, 19, 698, 540]"
306,"[346, 19, 697, 540]"
307,"[346, 19, 698, 540]"
308,"[345, 19, 698, 540]"
309,"[345, 19, 698, 540]"
310,"[346, 19, 698, 540]"
311,"[346, 19, 698, 540]"
312,"[345, 20, 699, 539]"
313,"[345, 19, 699, 540]"
314,"[344, 19, 699, 540]"
315,"[344, 19, 699, 540]"
316,"[344, 19, 699, 539]"
317,"[344, 19, 699, 539]"
318,"[345, 20, 699, 539]"
319,"[345, 20, 698, 540]"
320,"[345, 20, 699, 540]"
321,"[345, 20, 699, 540]"
322,"[346, 20, 699, 539]"
323,"[346, 20, 699, 539]"
324,"[345, 20, 698, 539]"
325,"[345, 20, 698, 539]"
326,"[345, 20, 698, 539]"
327,"[345, 20, 698, 539]"
328,"[346, 20, 699, 539]"
329,"[346, 20, 699, 539]"
330,"[345, 20, 699, 539]"
331,"[345, 20, 698, 539]"
332,"[345, 20, 698, 539]"
333,"[345, 20, 698, 539]"
334,"[345, 20, 698, 539]"
335,"[345, 19, 699, 539]"
336,"[345, 19, 699, 539]"
337,"[345, 19, 699, 539]"
338,"[345, 19, 699, 540]"
339,"[345, 19, 700, 540]"
340,"[346, 19, 700, 539]"
341,"[345, 19, 699, 539]"
342,"[345, 19, 699, 539]"
343,"[345, 19, 699, 539]"
344,"[345, 19, 699, 539]"
345,"[345, 18, 699, 539]"
346,"[345, 18, 699, 539]"
347,"[345, 18, 699, 539]"
348,"[345, 18, 700, 540]"
349,"[345, 18, 700, 540]"
350,"[345, 18, 700, 539]"
351,"[345, 18, 700, 539]"
352,"[346, 18, 700, 539]"
353,"[345, 18, 700, 539]"
354,"[345, 18, 700, 539]"
355,"[345, 19, 700, 540]"
356,"[345, 19, 700, 540]"
357,"[346, 19, 700, 540]"
358,"[345, 19, 701, 540]"
359,"[345, 19, 701, 540]"
360,"[345, 19, 700, 540]"
361,"[345, 19, 701, 540]"
362,"[344, 19, 701, 540]"
363,"[344, 19, 701, 540]"
364,"[344, 20, 700, 540]"
365,"[344, 20, 700, 539]"
366,"[344, 20, 701, 539]"
367,"[344, 20, 701, 539]"
368,"[344, 20, 701, 540]"
369,"[345, 20, 701, 540]"
370,"[344, 20, 701, 540]"
371,"[344, 20, 700, 540]"
372,"[344, 20, 700, 540]"
373,"[344, 20, 700, 540]"
374,"[345, 20, 700, 540]"
375,"[345, 20, 700, 540]"
376,"[344, 20, 701, 540]"
377,"[344, 20, 701, 540]"
378,"[345, 20, 701, 540]"
379,"[345, 20, 701, 540]"
380,"[345, 20, 700, 540]"
381,"[345, 20, 700, 540]"
382,"[345, 20, 700, 540]"
383,"[344, 20, 700, 540]"
384,"[344, 20, 700, 540]"
385,"[344, 20, 699, 540]"
386,"[344, 20, 699, 539]"
387,"[344, 20, 699, 539]"
388,"[344, 20, 699, 539]"
389,"[344, 20, 699, 539]"
390,"[344, 20, 699, 539]"
391,"[344, 19, 699, 539]"
392,"[344, 19, 697, 539]"
393,"[344, 19, 697, 539]"
394,"[345, 19, 697, 539]"
395,"[345, 19, 697, 539]"
396,"[345, 19, 698, 539]"
397,"[345, 19, 698, 539]"
398,"[345, 19, 698, 539]"
399,"[345, 20, 698, 539]"
400,"[344, 20, 699, 539]"
401,"[343, 20, 699, 539]"
402,"[343, 20, 699, 539]"
403,"[343, 20, 700, 539]"
404,"[343, 20, 700, 539]"
405,"[343, 20, 699, 539]"
406,"[344, 20, 699, 539]"
407,"[344, 20, 700, 539]"
408,"[344, 20, 700, 539]"
409,"[344, 20, 698, 539]"
410,"[344, 20, 698, 539]"
411,"[345, 19, 698, 539]"
412,"[345, 19, 698, 539]"
413,"[345, 19, 697, 539]"
414,"[345, 19, 697, 539]"
415,"[346, 19, 697, 539]"
416,"[345, 20, 697, 539]"
417,"[345, 19, 697, 539]"
418,"[346, 19, 697, 539]"
419,"[346, 19, 697, 539]"
420,"[346, 18, 697, 539]"
421,"[347, 18, 697, 539]"
422,"[346, 17, 697, 539]"
423,"[346, 17, 697, 539]"
424,"[346, 18, 697, 539]"
425,"[345, 18, 697, 538]"
426,"[345, 19, 697, 539]"
427,"[345, 20, 697, 539]"
428,"[345, 20, 697, 539]"
429,"[345, 20, 697, 539]"
430,"[345, 20, 697, 539]"
431,"[345, 19, 697, 539]"
432,"[345, 19, 696, 539]"
433,"[345, 20, 696, 539]"
434,"[345, 19, 697, 539]"
435,"[344, 19, 698, 539]"
436,"[344, 19, 698, 539]"
437,"[344, 19, 698, 539]"
438,"[344, 20, 698, 539]"
439,"[344, 20, 698, 539]"
440,"[344, 19, 699, 539]"
441,"[344, 18, 699, 539]"
442,"[345, 18, 698, 539]"
443,"[345, 18, 698, 539]"
444,"[345, 18, 698, 540]"
445,"[345, 18, 699, 540]"
446,"[345, 18, 699, 540]"
447,"[345, 19, 699, 540]"
448,"[345, 19, 699, 540]"
449,"[346, 19, 699, 540]"
450,"[346, 19, 698, 540]"
451,"[344, 19, 699, 540]"
452,"[344, 18, 699, 540]"
453,"[344, 18, 698, 540]"
454,"[344, 19, 698, 540]"
455,"[344, 19, 698, 539]"
456,"[344, 19, 698, 539]"
457,"[344, 19, 697, 539]"
458,"[344, 19, 697, 539]"
459,"[345, 19, 698, 539]"
460,"[345, 19, 698, 539]"
461,"[345, 19, 697, 539]"
462,"[345, 19, 697, 539]"
463,"[345, 19, 697, 539]"
464,"[345, 19, 697, 539]"
465,"[346, 19, 696, 539]"
466,"[345, 19, 697, 539]"
467,"[345, 19, 697, 539]"
468,"[345, 19, 696, 539]"
469,"[345, 19, 696, 539]"
