FrameNumber,ROI
1,"[327, 22, 645, 540]"
2,"[327, 23, 649, 540]"
3,"[326, 23, 655, 541]"
4,"[326, 23, 658, 541]"
5,"[325, 25, 661, 540]"
6,"[325, 23, 661, 540]"
7,"[324, 23, 662, 540]"
8,"[323, 24, 664, 540]"
9,"[321, 25, 666, 539]"
10,"[321, 25, 668, 540]"
11,"[322, 25, 669, 540]"
12,"[322, 25, 670, 540]"
13,"[324, 25, 671, 541]"
14,"[324, 26, 671, 542]"
15,"[324, 25, 674, 542]"
16,"[325, 25, 675, 541]"
17,"[326, 26, 675, 541]"
18,"[327, 26, 675, 541]"
19,"[327, 26, 677, 541]"
20,"[327, 27, 678, 539]"
21,"[326, 26, 680, 540]"
22,"[326, 26, 680, 540]"
23,"[326, 27, 682, 540]"
24,"[325, 27, 682, 540]"
25,"[325, 27, 682, 540]"
26,"[323, 27, 682, 539]"
27,"[323, 27, 682, 538]"
28,"[324, 26, 683, 538]"
29,"[324, 26, 683, 538]"
30,"[325, 26, 684, 538]"
31,"[325, 25, 685, 538]"
32,"[326, 25, 685, 539]"
33,"[328, 25, 685, 541]"
34,"[329, 25, 683, 541]"
35,"[328, 25, 684, 541]"
36,"[328, 24, 684, 539]"
37,"[329, 23, 682, 540]"
38,"[329, 21, 682, 540]"
39,"[329, 21, 681, 539]"
40,"[329, 21, 681, 540]"
41,"[330, 21, 681, 540]"
42,"[330, 22, 680, 540]"
43,"[330, 22, 678, 541]"
44,"[330, 21, 678, 541]"
45,"[327, 21, 678, 541]"
46,"[327, 22, 680, 539]"
47,"[327, 22, 680, 539]"
48,"[327, 22, 680, 538]"
49,"[327, 22, 678, 539]"
50,"[328, 22, 678, 539]"
51,"[329, 23, 678, 540]"
52,"[328, 23, 675, 540]"
53,"[328, 23, 675, 541]"
54,"[330, 23, 675, 541]"
55,"[330, 23, 675, 541]"
56,"[331, 23, 675, 540]"
57,"[330, 23, 675, 539]"
58,"[328, 23, 675, 539]"
59,"[328, 23, 677, 539]"
60,"[326, 23, 678, 539]"
61,"[326, 23, 678, 539]"
62,"[325, 23, 678, 538]"
63,"[322, 24, 679, 538]"
64,"[320, 25, 680, 537]"
65,"[320, 25, 681, 538]"
66,"[320, 25, 681, 538]"
67,"[319, 25, 680, 538]"
68,"[319, 24, 680, 539]"
69,"[321, 24, 679, 539]"
70,"[321, 24, 677, 540]"
71,"[322, 24, 674, 540]"
72,"[322, 24, 672, 540]"
73,"[324, 24, 672, 539]"
74,"[325, 24, 671, 539]"
75,"[325, 24, 671, 539]"
76,"[326, 24, 674, 539]"
77,"[327, 26, 674, 539]"
78,"[326, 24, 673, 539]"
79,"[326, 24, 672, 540]"
80,"[326, 24, 671, 540]"
81,"[328, 24, 670, 540]"
82,"[328, 24, 668, 540]"
83,"[328, 24, 670, 540]"
84,"[327, 24, 670, 540]"
85,"[327, 25, 669, 540]"
86,"[328, 24, 668, 540]"
87,"[329, 24, 668, 539]"
88,"[329, 25, 667, 539]"
89,"[329, 25, 667, 539]"
90,"[329, 25, 669, 539]"
91,"[327, 25, 671, 538]"
92,"[326, 25, 671, 537]"
93,"[326, 25, 671, 537]"
94,"[326, 25, 671, 537]"
95,"[326, 25, 671, 536]"
96,"[326, 26, 671, 537]"
97,"[328, 25, 669, 538]"
98,"[329, 25, 669, 539]"
99,"[329, 26, 668, 539]"
100,"[329, 26, 668, 539]"
101,"[329, 26, 668, 539]"
102,"[329, 26, 668, 539]"
103,"[329, 26, 667, 539]"
104,"[329, 26, 667, 539]"
105,"[329, 26, 668, 539]"
106,"[327, 26, 668, 539]"
107,"[327, 26, 669, 538]"
108,"[326, 26, 669, 538]"
109,"[326, 26, 668, 538]"
110,"[328, 26, 669, 538]"
111,"[328, 26, 669, 539]"
112,"[328, 26, 669, 539]"
113,"[330, 27, 669, 540]"
114,"[330, 27, 669, 540]"
115,"[330, 28, 669, 539]"
116,"[330, 28, 668, 540]"
117,"[330, 27, 666, 540]"
118,"[328, 27, 668, 540]"
119,"[327, 27, 668, 539]"
120,"[326, 27, 670, 539]"
121,"[326, 27, 670, 539]"
122,"[326, 27, 670, 540]"
123,"[326, 28, 668, 540]"
124,"[327, 28, 666, 540]"
125,"[327, 27, 665, 541]"
126,"[329, 25, 665, 541]"
127,"[329, 25, 666, 541]"
128,"[328, 26, 666, 541]"
129,"[326, 27, 666, 541]"
130,"[325, 29, 667, 541]"
131,"[325, 30, 669, 540]"
132,"[325, 30, 669, 540]"
133,"[326, 30, 670, 540]"
134,"[326, 30, 670, 540]"
135,"[324, 31, 670, 540]"
136,"[323, 32, 671, 540]"
137,"[323, 32, 671, 540]"
138,"[324, 31, 671, 540]"
139,"[325, 31, 671, 540]"
140,"[326, 32, 671, 540]"
141,"[327, 31, 671, 540]"
142,"[329, 31, 670, 540]"
