FrameNumber,ROI
1,"[312, 45, 665, 525]"
2,"[313, 44, 665, 525]"
3,"[313, 44, 664, 525]"
4,"[314, 45, 664, 525]"
5,"[312, 46, 664, 525]"
6,"[311, 46, 663, 525]"
7,"[311, 46, 663, 525]"
8,"[311, 46, 663, 525]"
9,"[311, 46, 664, 525]"
10,"[311, 46, 664, 525]"
11,"[310, 46, 664, 525]"
12,"[309, 46, 664, 526]"
13,"[309, 46, 665, 526]"
14,"[305, 47, 668, 526]"
15,"[305, 47, 668, 525]"
16,"[303, 49, 667, 524]"
17,"[301, 47, 668, 524]"
18,"[300, 47, 669, 525]"
19,"[298, 48, 669, 525]"
20,"[298, 47, 668, 524]"
21,"[296, 47, 671, 523]"
22,"[293, 48, 673, 522]"
23,"[293, 48, 673, 522]"
24,"[293, 49, 673, 522]"
25,"[293, 50, 673, 522]"
26,"[293, 52, 673, 522]"
27,"[295, 52, 669, 522]"
28,"[295, 54, 667, 521]"
29,"[298, 55, 666, 521]"
30,"[298, 54, 665, 520]"
31,"[297, 54, 662, 520]"
32,"[297, 55, 661, 519]"
33,"[300, 57, 659, 517]"
34,"[299, 57, 659, 518]"
35,"[299, 57, 659, 518]"
36,"[299, 59, 658, 518]"
37,"[299, 59, 660, 519]"
38,"[299, 58, 661, 519]"
39,"[298, 55, 661, 520]"
40,"[298, 55, 661, 520]"
41,"[300, 57, 661, 520]"
42,"[300, 57, 662, 520]"
43,"[301, 57, 662, 520]"
44,"[303, 57, 663, 519]"
45,"[303, 56, 663, 520]"
46,"[306, 55, 663, 520]"
47,"[307, 55, 663, 520]"
48,"[306, 56, 663, 520]"
49,"[306, 58, 661, 520]"
50,"[305, 60, 661, 520]"
51,"[304, 63, 659, 520]"
52,"[304, 63, 656, 518]"
53,"[304, 64, 656, 518]"
54,"[304, 64, 653, 517]"
55,"[304, 64, 652, 521]"
56,"[299, 63, 652, 521]"
57,"[299, 58, 650, 521]"
58,"[296, 58, 650, 520]"
59,"[288, 56, 649, 517]"
60,"[284, 56, 647, 517]"
61,"[278, 57, 643, 518]"
62,"[277, 55, 643, 518]"
63,"[272, 54, 646, 519]"
64,"[266, 54, 646, 519]"
65,"[260, 53, 642, 518]"
66,"[256, 53, 639, 521]"
67,"[255, 53, 636, 521]"
68,"[255, 53, 634, 520]"
69,"[256, 52, 633, 518]"
70,"[260, 51, 631, 518]"
71,"[261, 51, 630, 517]"
72,"[259, 51, 629, 518]"
73,"[259, 51, 629, 519]"
74,"[260, 51, 631, 519]"
75,"[259, 52, 633, 520]"
76,"[259, 52, 637, 521]"
77,"[263, 53, 639, 521]"
78,"[263, 56, 639, 520]"
79,"[270, 58, 642, 519]"
80,"[273, 59, 642, 518]"
81,"[279, 58, 641, 516]"
82,"[285, 56, 647, 516]"
83,"[292, 56, 648, 514]"
84,"[294, 56, 649, 515]"
85,"[296, 52, 653, 518]"
86,"[296, 51, 653, 520]"
87,"[301, 49, 654, 520]"
88,"[301, 49, 654, 521]"
89,"[301, 50, 653, 521]"
90,"[301, 52, 652, 520]"
91,"[301, 53, 653, 519]"
92,"[301, 53, 653, 517]"
93,"[301, 53, 652, 517]"
94,"[301, 55, 652, 517]"
95,"[300, 56, 652, 517]"
96,"[300, 56, 652, 517]"
