Frame,ME
1,0
1,31.26235741444867
2,38.44160030337505
3,40.31864046733935
4,37.596296296296295
5,46.19142957499122
6,45.10251450676983
7,40.64220053740631
8,33.23582308680492
9,35.448641765704586
10,42.08667369901547
11,42.65219638242894
12,33.88558022017686
13,31.572791833111406
14,33.04957678355502
15,31.655561250640698
16,29.51832460732984
17,29.335106382978722
18,24.96797153024911
19,24.071072319201996
20,26.8
21,29.280397022332505
22,30.336569579288025
23,31.427848101265823
24,30.16051912568306
25,28.165202108963094
26,26.228105906313644
27,29.850806451612904
28,29.33626588465298
29,27.31973898858075
30,26.41710296684119
31,27.758181818181818
32,29.816176470588236
33,31.76123595505618
34,30.321969696969695
35,24.112540192926044
36,28.470119521912352
37,29.538910505836576
38,26.393939393939394
39,24.610169491525422
40,24.68421052631579
41,26.29850746268657
42,26.100775193798448
43,25.904255319148938
44,23.58490566037736
45,24.96857142857143
46,25.647630619684083
47,26.240133779264212
48,27.58552348125808
49,27.895435684647303
50,28.411896745230077
51,27.570719602977668
52,27.873949579831933
53,28.41724403387221
54,28.008474576271187
55,28.03409090909091
56,24.90566037735849
57,24.560311284046694
58,25.532608695652176
59,24.295081967213115
60,25.819875776397517
61,25.035335689045937
62,24.91883116883117
63,24.828092243186582
64,24.73722627737226
65,23.786666666666665
66,24.251256281407034
67,26.03030303030303
68,26.54054054054054
69,23.80597014925373
70,25.256410256410255
71,21.5
72,0.0
73,24.0
74,0.0
75,22.0
76,22.0
77,0.0
78,23.0
79,0.0
80,26.428571428571427
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,24.666666666666668
88,26.07894736842105
89,28.040983606557376
90,27.933333333333334
91,26.9272030651341
92,23.973684210526315
93,23.688524590163933
94,22.616438356164384
95,22.345454545454544
96,23.0
97,22.163265306122447
98,22.540983606557376
99,23.828358208955223
100,24.355371900826448
101,27.718840579710147
102,27.875283446712018
103,28.970588235294116
104,25.1731843575419
105,25.626436781609197
106,26.4390243902439
107,23.358974358974358
108,22.583333333333332
109,23.280701754385966
110,25.034188034188034
111,24.19736842105263
112,25.746666666666666
113,22.444444444444443
114,23.0
115,21.8
116,23.0
117,25.142857142857142
118,25.952380952380953
119,25.9
120,25.0
121,25.875
122,22.6
123,22.5
124,0.0
125,0.0
126,23.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,26.5
136,0.0
137,0.0
138,23.703703703703702
139,0.0
140,22.4375
141,22.5
142,23.666666666666668
143,21.75
144,21.714285714285715
145,25.32075471698113
146,23.0
147,21.0
148,21.333333333333332
149,0.0
150,26.875
151,0.0
152,0.0
153,24.384615384615383
154,27.231404958677686
155,25.922448979591838
156,26.384615384615383
157,26.554054054054053
158,27.57894736842105
159,26.084592145015105
160,25.0
161,24.30534351145038
162,23.258064516129032
163,23.40740740740741
164,24.06451612903226
165,23.767441860465116
166,23.64864864864865
167,22.75
168,24.666666666666668
169,24.0
170,22.352941176470587
171,22.933333333333334
172,23.032258064516128
173,23.58823529411765
174,24.6875
175,24.791208791208792
176,24.84375
177,24.14864864864865
178,22.96470588235294
179,23.574257425742573
180,23.14814814814815
181,24.5
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,21.5
190,22.125
191,23.5
192,23.733333333333334
193,23.103448275862068
194,22.783783783783782
195,23.185185185185187
196,22.0
197,21.9
198,23.58
199,22.96153846153846
200,23.0625
201,23.5
202,21.166666666666668
203,21.333333333333332
204,24.958333333333332
205,22.5
206,22.228571428571428
207,22.466666666666665
208,22.5
209,21.428571428571427
210,22.294117647058822
211,22.823529411764707
212,23.53846153846154
213,23.09375
214,21.46153846153846
215,21.333333333333332
216,0.0
217,23.5
218,23.0
219,22.666666666666668
220,22.0
221,0.0
222,22.0
223,22.61111111111111
224,24.0
225,23.671641791044777
226,23.623655913978496
227,24.050505050505052
228,24.858024691358025
229,24.953216374269005
230,26.127340823970037
231,24.94871794871795
232,24.695876288659793
233,24.552995391705068
234,25.24924924924925
235,24.689655172413794
236,23.984848484848484
237,23.333333333333332
238,23.971830985915492
239,22.428571428571427
240,22.25
241,0.0
242,0.0
243,23.392857142857142
244,23.466666666666665
245,25.181818181818183
246,25.295774647887324
247,25.49532710280374
248,25.263636363636362
249,26.333333333333332
250,25.575
251,25.25
252,24.65289256198347
253,24.866666666666667
254,22.31578947368421
255,22.20689655172414
256,0.0
257,0.0
258,22.666666666666668
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,24.571428571428573
271,22.0
272,0.0
273,22.416666666666668
274,23.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,25.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,24.454545454545453
299,24.227272727272727
300,25.533333333333335
301,25.11764705882353
302,26.333333333333332
303,24.597014925373134
304,25.479591836734695
305,29.676258992805757
306,29.30666666666667
307,24.553956834532375
308,23.81111111111111
309,23.0625
310,23.58823529411765
311,23.966666666666665
312,24.75
313,0.0
314,0.0
315,24.25
316,24.833333333333332
317,25.11111111111111
318,26.0
319,27.481927710843372
320,26.39325842696629
321,28.397590361445783
322,30.666666666666668
323,30.41025641025641
324,30.174603174603174
325,29.79310344827586
326,23.333333333333332
327,0.0
328,0.0
329,0.0
330,0.0
331,22.75
332,25.0
333,24.285714285714285
334,0.0
335,21.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,22.571428571428573
344,22.333333333333332
345,21.4
346,0.0
347,0.0
348,23.933333333333334
349,22.0
350,21.8
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,25.0
361,21.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,21.0
380,23.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,24.0
388,21.0
389,0.0
390,22.666666666666668
391,22.2
392,22.75
393,22.545454545454547
394,0.0
395,22.333333333333332
396,0.0
397,21.0
398,22.0
399,21.0
400,21.0
401,21.333333333333332
402,21.0
403,22.0
404,0.0
405,23.0
406,21.333333333333332
407,0.0
408,24.87912087912088
409,21.0
410,24.571428571428573
411,23.5
412,0.0
413,21.0
414,22.666666666666668
415,22.5
416,0.0
417,0.0
418,26.902439024390244
419,0.0
420,21.0
421,0.0
422,23.176470588235293
423,25.0
424,24.775510204081634
425,26.063291139240505
426,29.0
427,27.148936170212767
428,30.833333333333332
429,27.65
430,25.344827586206897
431,25.53846153846154
432,22.625
433,21.0
434,22.0
435,24.0
436,24.857142857142858
437,24.419354838709676
438,25.15432098765432
439,26.927835051546392
440,27.083700440528634
441,27.39721254355401
442,26.957115009746587
443,26.82264150943396
444,27.151131221719456
445,27.999222395023327
446,27.92255319148936
447,27.35508849557522
448,28.085843373493976
449,27.794573643410853
450,28.86857142857143
451,31.39673913043478
452,26.6
453,22.6
454,0.0
455,24.5
456,25.105263157894736
457,28.0625
458,28.31578947368421
459,27.6
460,26.70909090909091
461,25.227272727272727
462,22.375
463,0.0
464,0.0
465,22.2
466,22.285714285714285
467,0.0
468,23.535714285714285
469,23.771428571428572
470,24.625
471,22.85185185185185
472,0.0
473,0.0
474,0.0
475,0.0
476,24.8
477,24.5
478,0.0
479,21.0
480,22.5
481,21.5
482,22.0
483,23.2
484,0.0
485,23.0
486,0.0
487,21.0
488,0.0
489,0.0
490,0.0
491,23.25
492,22.0
493,23.666666666666668
494,27.0
495,26.333333333333332
496,0.0
497,0.0
498,23.142857142857142
499,0.0
500,23.0
501,0.0
502,23.25
503,0.0
504,21.0
505,23.384615384615383
506,21.25
507,21.0
508,23.571428571428573
509,0.0
510,0.0
511,0.0
512,0.0
513,23.428571428571427
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,21.0
520,23.0
521,24.27777777777778
522,22.142857142857142
523,23.6
524,22.166666666666668
525,24.90909090909091
526,0.0
527,0.0
528,23.384615384615383
529,0.0
530,21.166666666666668
531,21.5
532,0.0
533,0.0
534,21.0
535,21.25
536,23.0
537,23.833333333333332
538,22.733333333333334
539,23.746478873239436
540,27.870967741935484
541,26.48148148148148
542,25.528662420382165
543,26.327485380116958
544,28.030075187969924
545,26.636363636363637
546,26.741176470588236
547,25.615384615384617
548,24.871794871794872
549,24.612903225806452
550,23.545454545454547
551,24.266666666666666
552,25.06122448979592
553,28.594202898550726
554,36.810810810810814
555,24.790697674418606
556,23.64
557,32.670731707317074
558,30.02906976744186
559,27.527896995708154
560,27.621145374449338
561,29.598958333333332
562,32.674418604651166
563,37.54054054054054
564,33.470588235294116
565,29.553571428571427
566,31.705882352941178
567,27.743589743589745
568,24.145833333333332
569,23.46590909090909
570,22.652173913043477
571,22.571428571428573
572,24.20408163265306
573,24.767676767676768
574,29.08450704225352
575,25.925581395348836
576,27.34722222222222
577,23.04
578,21.0
579,25.294117647058822
580,24.518927444794954
581,24.68268551236749
582,24.14174894217207
583,23.39718309859155
584,23.92781520692974
585,23.89873417721519
586,22.5
587,21.0
588,24.470588235294116
589,30.85279187817259
590,37.534188034188034
591,51.798136645962735
592,57.80722891566265
593,49.19117647058823
594,37.693957115009745
595,28.501694915254237
596,24.785051067780874
597,25.728119935170177
598,25.294117647058822
599,25.17142857142857
600,25.173633440514468
601,23.28148148148148
602,25.25
603,22.88888888888889
604,22.333333333333332
605,24.8
606,22.714285714285715
607,21.88888888888889
608,22.963636363636365
609,25.08974358974359
610,23.271604938271604
611,23.43548387096774
612,23.75
613,26.43103448275862
614,29.1356783919598
615,28.488126649076516
616,30.53872053872054
617,31.22613065326633
618,30.841201716738198
619,27.331967213114755
620,24.276470588235295
621,23.697841726618705
622,24.555555555555557
623,24.4375
624,24.51497005988024
625,25.325
626,25.666666666666668
627,23.866666666666667
628,24.026315789473685
629,22.958904109589042
630,24.899305555555557
631,25.572972972972973
632,25.666666666666668
633,26.976525821596244
634,27.44632768361582
635,28.286085825747723
636,28.646437994722955
637,26.103448275862068
638,26.87317073170732
639,32.06349206349206
640,32.47290640394089
641,30.633333333333333
642,22.692307692307693
643,24.0
644,22.0
645,23.875
646,0.0
647,21.0
648,22.4
649,23.607142857142858
650,23.59090909090909
651,21.666666666666668
652,21.5
653,21.666666666666668
654,23.666666666666668
655,22.923076923076923
656,23.56
657,22.75
658,23.285714285714285
659,22.5
660,22.4
661,21.894736842105264
662,22.0625
663,23.560606060606062
664,21.666666666666668
665,23.25
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,24.0
673,23.571428571428573
674,26.375
675,24.258064516129032
676,25.015384615384615
677,23.835051546391753
678,24.428571428571427
679,23.3
680,23.11111111111111
681,22.428571428571427
682,0.0
683,0.0
684,22.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,27.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,26.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,22.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,21.5
721,0.0
722,0.0
723,23.2
724,0.0
725,21.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,24.333333333333332
736,22.0
737,0.0
738,23.333333333333332
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,24.5
751,21.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,22.0
777,24.727272727272727
778,0.0
779,21.0
780,22.0
781,0.0
782,0.0
783,21.5
784,0.0
785,24.666666666666668
786,0.0
787,0.0
788,22.0
789,21.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,22.0
796,0.0
797,0.0
798,22.8
799,21.0
800,21.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,23.9
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,22.0
823,0.0
824,0.0
825,21.5
826,0.0
827,0.0
828,23.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,21.0
835,21.0
836,22.0
837,0.0
838,0.0
839,0.0
840,24.0
841,25.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,26.387755102040817
849,0.0
850,0.0
851,25.666666666666668
852,0.0
853,21.0
854,0.0
855,25.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,23.333333333333332
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,23.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,25.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,25.347826086956523
910,22.75
911,0.0
912,24.0
913,0.0
914,0.0
915,22.0
916,0.0
917,0.0
918,0.0
919,26.705882352941178
920,0.0
921,26.454545454545453
922,26.0
923,0.0
924,0.0
925,0.0
926,0.0
927,23.0
928,21.0
929,0.0
930,24.466666666666665
931,0.0
932,0.0
933,22.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,25.5
946,0.0
947,0.0
948,21.5
949,0.0
950,0.0
951,0.0
952,25.333333333333332
953,28.733333333333334
954,28.065217391304348
955,25.892307692307693
956,27.90909090909091
957,21.75
958,23.129032258064516
959,23.405405405405407
960,23.954128440366972
961,21.2
962,21.571428571428573
963,23.375
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,22.0
970,0.0
971,24.0
972,0.0
973,25.0
974,0.0
975,21.0
976,24.625
977,22.2
978,0.0
979,0.0
980,0.0
981,21.0
982,21.0
983,0.0
984,22.0
985,0.0
986,0.0
987,21.0
988,21.0
989,23.0
990,22.384615384615383
991,23.294117647058822
992,24.869565217391305
993,24.771428571428572
994,25.289473684210527
995,24.0
996,21.0
997,22.77777777777778
998,24.4
999,23.444444444444443
1000,27.25
1001,25.210526315789473
1002,26.77777777777778
1003,27.145833333333332
1004,25.87878787878788
1005,29.492957746478872
1006,27.580645161290324
1007,27.352941176470587
1008,24.0
1009,22.5
1010,22.696969696969695
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,21.0
1016,21.0
1017,24.0
1018,27.933333333333334
1019,0.0
1020,23.75
1021,21.0
1022,0.0
1023,0.0
1024,0.0
1025,25.1875
1026,21.75
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,22.25
1034,21.0
1035,21.75
1036,21.0
1037,0.0
1038,24.94871794871795
1039,22.0
1040,22.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,21.0
1049,22.5
1050,22.90909090909091
1051,0.0
1052,0.0
1053,22.434782608695652
1054,24.41176470588235
1055,23.391304347826086
1056,0.0
1057,22.214285714285715
1058,0.0
1059,0.0
1060,0.0
1061,24.0
1062,0.0
1063,21.0
1064,0.0
1065,21.4
1066,0.0
1067,21.0
1068,0.0
1069,0.0
1070,22.0
1071,21.5
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,22.0
1077,22.0
1078,23.5
1079,0.0
1080,0.0
1081,23.0
1082,24.0
1083,22.0
1084,0.0
1085,0.0
1086,0.0
1087,24.5
1088,0.0
1089,0.0
1090,0.0
1091,21.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,23.22222222222222
1108,24.724137931034484
1109,0.0
1110,24.5
1111,23.45
1112,29.52
1113,29.322033898305083
1114,29.367346938775512
1115,27.58450704225352
1116,26.138297872340427
1117,25.064814814814813
1118,24.985507246376812
1119,25.227544910179642
1120,25.207142857142856
1121,23.358695652173914
1122,23.428571428571427
1123,23.0
1124,25.40909090909091
1125,27.017857142857142
1126,28.797619047619047
1127,29.5
1128,29.674157303370787
1129,26.656565656565657
1130,26.26865671641791
1131,26.757575757575758
1132,23.27777777777778
1133,27.075
1134,29.622222222222224
1135,25.766666666666666
1136,25.0126582278481
1137,23.796747967479675
1138,24.56774193548387
1139,25.487179487179485
1140,25.336734693877553
1141,22.5
1142,0.0
1143,24.0
1144,21.5
1145,22.23076923076923
1146,24.377777777777776
1147,25.28930817610063
1148,25.193396226415093
1149,25.673076923076923
1150,25.714285714285715
1151,24.936305732484076
1152,24.09722222222222
1153,24.35483870967742
1154,23.533333333333335
1155,25.060606060606062
1156,30.333333333333332
1157,30.357142857142858
1158,30.0
1159,27.639344262295083
1160,28.98876404494382
1161,25.016949152542374
1162,24.6734693877551
1163,25.62162162162162
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,23.586206896551722
1169,24.516483516483518
1170,25.13389121338912
1171,24.793333333333333
1172,25.80666666666667
1173,25.524539877300615
1174,25.108870967741936
1175,23.9
1176,21.333333333333332
1177,24.77777777777778
1178,25.416666666666668
1179,21.25
1180,0.0
1181,21.0
1182,26.09090909090909
1183,25.23076923076923
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,28.333333333333332
1193,0.0
1194,0.0
1195,0.0
1196,22.0
1197,22.75
1198,22.4
1199,21.857142857142858
1200,23.5
1201,23.705882352941178
1202,23.833333333333332
1203,22.61111111111111
1204,25.11764705882353
1205,22.5
1206,0.0
1207,26.333333333333332
1208,25.451612903225808
1209,26.78125
1210,22.9375
1211,23.384615384615383
1212,22.5
1213,22.636363636363637
1214,22.9375
1215,23.308641975308642
1216,22.933333333333334
1217,23.0
1218,23.64516129032258
1219,25.743119266055047
1220,24.54237288135593
1221,23.58823529411765
1222,25.441860465116278
1223,29.72566371681416
1224,28.560439560439562
1225,29.867158671586715
1226,31.646103896103895
1227,31.139285714285716
1228,28.217021276595744
1229,27.59891598915989
1230,28.572207084468666
1231,29.34371108343711
1232,29.38
1233,26.63947078280044
1234,26.601522842639593
1235,28.083462132921174
1236,29.58994708994709
1237,26.541484716157207
1238,24.808724832214764
1239,28.5921568627451
1240,29.054054054054053
1241,28.170068027210885
1242,27.535980148883375
1243,26.391752577319586
1244,25.4
1245,26.263157894736842
1246,24.175
1247,24.215686274509803
1248,23.914634146341463
1249,26.1021897810219
1250,27.023706896551722
1251,27.692156862745097
1252,27.86828644501279
1253,28.84994640943194
1254,27.682867557715674
1255,26.888671875
1256,24.403846153846153
1257,24.676923076923078
1258,24.08450704225352
1259,29.275862068965516
1260,27.107142857142858
1261,25.545454545454547
1262,31.476190476190474
1263,31.489795918367346
1264,21.0
1265,24.08823529411765
1266,23.333333333333332
1267,23.1
1268,21.0
1269,22.0
1270,0.0
1271,0.0
1272,0.0
1273,23.0
1274,24.72
1275,24.224358974358974
1276,26.925531914893618
1277,26.081967213114755
1278,24.30263157894737
1279,22.652173913043477
1280,21.928571428571427
1281,24.666666666666668
1282,25.666666666666668
1283,25.0
1284,23.611764705882354
1285,25.950138504155124
1286,28.955108359133128
1287,28.971246006389777
1288,27.4468085106383
1289,25.591743119266056
1290,25.33953488372093
1291,24.333333333333332
1292,28.163636363636364
1293,29.30666666666667
1294,30.20408163265306
1295,28.79032258064516
1296,25.444444444444443
1297,24.741935483870968
1298,24.88888888888889
1299,22.0
1300,21.5
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,22.0
1306,0.0
1307,0.0
1308,21.833333333333332
1309,24.36263736263736
1310,25.875
1311,26.051635111876077
1312,26.533432392273404
1313,28.58267716535433
1314,29.583965330444205
1315,30.618284637134778
1316,32.286298568507156
1317,31.523843416370106
1318,28.92112676056338
1319,25.713527851458885
1320,24.03116883116883
1321,23.25430597771023
1322,23.700152207001523
1323,24.5748959778086
1324,25.74866627148785
1325,29.79724409448819
1326,32.120706575073605
1327,33.95015906680806
1328,34.38009592326139
1329,33.955786736020805
1330,32.06351550960118
1331,30.462715105162523
1332,26.86629001883239
1333,24.889112903225808
1334,23.84942084942085
1335,25.351014040561623
1336,25.825531914893617
1337,26.2
1338,25.703791469194314
1339,30.439262472885034
1340,33.25279285030322
1341,32.5387847446671
1342,33.65470037714765
1343,32.31711065573771
1344,35.14794848757113
1345,34.068192014356214
1346,33.40385542168675
1347,31.71225269003818
1348,32.41019906061284
1349,33.10377019748653
1350,33.64894889762434
1351,32.04322832835135
1352,29.601267828843106
1353,29.54639175257732
1354,31.38095238095238
1355,32.849700149925035
1356,33.17795844625113
1357,32.542738589211616
1358,32.969565217391306
1359,33.10726310726311
1360,33.779761904761905
1361,32.336931018301264
1362,28.664545980335454
1363,28.398389570552148
1364,29.23727693324521
1365,29.66893039049236
1366,29.003496503496503
1367,26.845771144278608
1368,25.15286624203822
1369,27.983173076923077
1370,37.03649635036496
1371,42.3517091152815
1372,40.0168991416309
1373,33.80217937971501
1374,31.93198312236287
1375,38.8700826446281
1376,46.148737137511695
1377,48.7513598876996
1378,43.589228581585495
1379,36.33436985549662
1380,36.082089552238806
1381,33.78871484514062
1382,30.031896915927334
1383,31.09685940710302
1384,29.88393135725429
1385,30.631856968711904
1386,33.745559289486316
1387,35.41688244432936
1388,35.9268156424581
1389,36.25729288214703
1390,34.59061200237671
1391,32.050328227571114
1392,32.40871121718377
1393,29.44313890054553
1394,30.14965378601742
1395,32.35331440975121
1396,33.763429752066116
1397,34.60182370820669
1398,35.19867383960966
1399,35.555383822771766
1400,36.53821956590123
1401,37.28394605579161
1402,37.955879008414826
1403,36.90719523373052
1404,33.340298507462684
1405,33.1226935514552
1406,34.629293583927414
1407,38.77780685684376
1408,42.66450790954454
1409,46.575738585496865
1410,49.93495330192578
1411,51.68888888888889
1412,52.77316536389163
1413,52.64831356845834
1414,51.21145550407413
1415,47.789253679352086
1416,42.86055974593093
1417,36.98563353744701
1418,31.971218351006275
1419,31.658637302133517
1420,27.937257079400332
1421,32.66384502685984
1422,39.55742049469965
1423,44.3317549010323
1424,47.48814025438295
1425,51.24310455420141
1426,52.701246449984225
1427,52.76967520299812
1428,52.044411019632676
1429,51.281176755839326
1430,50.780894617134194
1431,49.79582790091265
1432,48.852668972609145
1433,46.73395868675781
1434,45.30603542532255
1435,43.91463974300137
1436,42.35352130484259
1437,40.77894882817917
1438,38.14191586416624
1439,35.40051402869994
1440,33.04267033723331
1441,28.543040293040292
1442,26.1395881006865
1443,26.5625
1444,28.63101604278075
1445,31.274115755627008
1446,32.38914323086985
1447,34.241490340386385
1448,33.85041056765441
1449,35.521158129175944
1450,36.08203497615262
1451,34.930387794024156
1452,34.724203821656054
1453,34.40537974683544
1454,33.39974210186976
1455,32.07329528386903
1456,29.662062615101288
1457,27.826239887442842
1458,27.157275021026074
1459,27.61416184971098
1460,27.51530612244898
1461,27.14527027027027
1462,24.892473118279568
1463,23.363636363636363
1464,23.871794871794872
1465,25.18796992481203
1466,25.475247524752476
1467,24.40625
1468,24.865546218487395
1469,23.58730158730159
1470,24.94214876033058
1471,22.23076923076923
1472,24.333333333333332
1473,23.303030303030305
1474,0.0
1475,21.0
1476,0.0
1477,22.0
1478,22.285714285714285
1479,22.0
1480,23.363636363636363
1481,27.06153846153846
1482,24.424242424242426
1483,21.0
1484,24.642857142857142
1485,24.4
1486,25.0
1487,0.0
1488,22.0
1489,0.0
1490,0.0
1491,0.0
1492,22.5
1493,23.5
1494,23.2
1495,22.25
1496,21.0
