FrameNumber,ROI
1,"[295, 24, 638, 527]"
2,"[293, 24, 638, 526]"
3,"[291, 25, 638, 526]"
4,"[289, 25, 638, 527]"
5,"[289, 25, 638, 528]"
6,"[289, 25, 638, 529]"
7,"[270, 25, 639, 529]"
8,"[270, 25, 639, 527]"
9,"[293, 25, 637, 527]"
10,"[267, 25, 644, 527]"
11,"[267, 32, 644, 523]"
12,"[268, 32, 644, 523]"
13,"[270, 25, 644, 523]"
14,"[299, 25, 642, 524]"
15,"[298, 26, 642, 525]"
16,"[297, 26, 640, 525]"
17,"[293, 27, 640, 527]"
18,"[293, 25, 641, 527]"
19,"[293, 25, 641, 528]"
20,"[275, 25, 639, 528]"
21,"[275, 32, 641, 524]"
22,"[275, 31, 642, 524]"
23,"[281, 28, 644, 524]"
24,"[274, 28, 644, 524]"
25,"[274, 31, 643, 523]"
26,"[271, 31, 640, 524]"
27,"[271, 32, 643, 524]"
28,"[272, 26, 643, 525]"
29,"[275, 26, 642, 525]"
30,"[275, 33, 642, 523]"
31,"[271, 31, 639, 525]"
32,"[271, 31, 637, 525]"
33,"[271, 33, 636, 523]"
34,"[271, 31, 636, 524]"
35,"[270, 31, 635, 524]"
36,"[269, 31, 636, 524]"
37,"[269, 31, 636, 524]"
38,"[275, 31, 635, 524]"
39,"[270, 32, 638, 525]"
40,"[265, 30, 643, 525]"
41,"[265, 30, 643, 525]"
42,"[275, 31, 639, 525]"
43,"[278, 30, 637, 524]"
44,"[279, 30, 636, 524]"
45,"[281, 30, 636, 524]"
46,"[288, 25, 644, 525]"
47,"[301, 25, 644, 527]"
48,"[283, 26, 638, 527]"
49,"[282, 29, 624, 525]"
50,"[280, 28, 622, 525]"
51,"[280, 27, 625, 525]"
52,"[283, 27, 629, 524]"
53,"[290, 27, 642, 524]"
54,"[294, 32, 652, 525]"
55,"[307, 33, 660, 525]"
56,"[312, 33, 666, 524]"
57,"[309, 33, 667, 523]"
58,"[309, 33, 667, 523]"
59,"[309, 33, 664, 523]"
60,"[301, 33, 658, 523]"
61,"[300, 29, 651, 523]"
62,"[300, 28, 641, 523]"
63,"[301, 28, 639, 524]"
64,"[299, 31, 639, 524]"
65,"[289, 29, 639, 523]"
66,"[289, 26, 631, 522]"
67,"[282, 26, 631, 524]"
68,"[282, 28, 626, 524]"
69,"[283, 27, 626, 524]"
70,"[284, 27, 629, 523]"
71,"[283, 31, 632, 523]"
72,"[283, 32, 639, 522]"
73,"[284, 27, 645, 530]"
74,"[302, 27, 645, 531]"
75,"[299, 28, 646, 531]"
76,"[296, 28, 646, 527]"
77,"[286, 29, 646, 526]"
78,"[282, 32, 638, 525]"
79,"[282, 32, 638, 524]"
80,"[283, 32, 640, 524]"
81,"[284, 31, 641, 524]"
82,"[284, 31, 645, 524]"
83,"[285, 34, 645, 522]"
84,"[285, 34, 643, 522]"
85,"[284, 33, 643, 523]"
86,"[284, 28, 648, 527]"
87,"[286, 28, 648, 527]"
88,"[286, 26, 648, 525]"
89,"[295, 26, 648, 525]"
90,"[295, 27, 648, 527]"
91,"[298, 26, 646, 527]"
92,"[298, 26, 647, 525]"
93,"[295, 25, 648, 527]"
94,"[287, 25, 648, 527]"
95,"[285, 32, 646, 521]"
96,"[285, 32, 650, 521]"
97,"[289, 31, 650, 522]"
98,"[289, 22, 654, 522]"
99,"[298, 22, 654, 522]"
100,"[295, 22, 652, 524]"
101,"[295, 22, 651, 524]"
102,"[299, 22, 651, 524]"
103,"[300, 23, 651, 524]"
104,"[302, 23, 651, 524]"
105,"[297, 23, 650, 524]"
106,"[297, 29, 647, 524]"
107,"[298, 22, 648, 524]"
108,"[301, 21, 648, 525]"
109,"[297, 20, 649, 526]"
