FrameNumber,ROI
1,"[335, 15, 699, 527]"
2,"[335, 21, 699, 527]"
3,"[335, 21, 700, 526]"
4,"[335, 21, 700, 526]"
5,"[335, 23, 699, 525]"
6,"[335, 22, 699, 526]"
7,"[336, 22, 698, 526]"
8,"[337, 24, 699, 525]"
9,"[339, 25, 699, 525]"
10,"[339, 25, 698, 526]"
11,"[337, 25, 699, 526]"
12,"[336, 25, 699, 527]"
13,"[335, 25, 699, 527]"
14,"[335, 25, 700, 527]"
15,"[335, 26, 700, 527]"
16,"[335, 27, 700, 527]"
17,"[336, 26, 700, 527]"
18,"[337, 26, 701, 527]"
19,"[337, 26, 701, 527]"
20,"[336, 25, 700, 527]"
21,"[335, 25, 700, 527]"
22,"[335, 25, 700, 528]"
23,"[337, 25, 700, 528]"
24,"[339, 24, 700, 528]"
25,"[339, 24, 700, 528]"
26,"[339, 25, 700, 528]"
27,"[339, 26, 700, 527]"
28,"[339, 26, 701, 526]"
29,"[338, 26, 701, 526]"
30,"[338, 27, 702, 526]"
31,"[339, 27, 702, 528]"
32,"[338, 27, 702, 528]"
33,"[338, 26, 702, 528]"
34,"[338, 26, 701, 528]"
35,"[338, 26, 703, 528]"
36,"[335, 26, 703, 528]"
37,"[335, 23, 703, 528]"
38,"[335, 23, 702, 528]"
39,"[335, 22, 703, 527]"
40,"[335, 22, 703, 528]"
41,"[335, 23, 705, 528]"
42,"[336, 23, 705, 528]"
43,"[335, 23, 705, 529]"
44,"[335, 22, 703, 529]"
45,"[335, 22, 703, 529]"
46,"[335, 23, 703, 528]"
47,"[335, 24, 702, 529]"
48,"[335, 24, 702, 529]"
49,"[338, 26, 702, 528]"
50,"[338, 28, 702, 527]"
51,"[338, 28, 702, 527]"
52,"[338, 26, 701, 527]"
53,"[337, 26, 702, 527]"
54,"[337, 27, 702, 527]"
55,"[338, 26, 701, 526]"
56,"[338, 26, 700, 526]"
57,"[338, 25, 700, 528]"
58,"[338, 25, 700, 528]"
59,"[338, 26, 701, 528]"
60,"[337, 25, 701, 528]"
61,"[337, 25, 701, 528]"
62,"[337, 26, 702, 527]"
63,"[337, 26, 702, 527]"
64,"[337, 26, 703, 528]"
65,"[336, 26, 703, 528]"
66,"[335, 25, 702, 528]"
67,"[334, 24, 701, 528]"
68,"[334, 24, 701, 528]"
69,"[334, 24, 701, 527]"
70,"[333, 24, 701, 527]"
71,"[333, 24, 701, 527]"
72,"[331, 25, 701, 528]"
73,"[331, 25, 700, 528]"
74,"[333, 25, 700, 528]"
75,"[332, 25, 701, 527]"
76,"[332, 25, 702, 527]"
77,"[332, 25, 702, 527]"
78,"[332, 25, 701, 527]"
79,"[332, 25, 701, 527]"
80,"[332, 25, 701, 526]"
81,"[333, 25, 701, 527]"
82,"[333, 24, 701, 527]"
83,"[333, 24, 701, 526]"
84,"[333, 25, 701, 527]"
85,"[333, 25, 701, 527]"
86,"[334, 25, 702, 527]"
87,"[334, 25, 702, 527]"
88,"[332, 26, 701, 527]"
89,"[332, 26, 700, 527]"
90,"[333, 25, 700, 527]"
91,"[334, 25, 700, 527]"
92,"[335, 25, 700, 526]"
93,"[335, 25, 700, 526]"
94,"[334, 25, 700, 526]"
95,"[333, 26, 700, 526]"
96,"[333, 26, 699, 526]"
97,"[334, 26, 700, 527]"
98,"[334, 19, 700, 527]"
99,"[336, 19, 701, 527]"
100,"[336, 20, 701, 527]"
101,"[334, 20, 699, 527]"
102,"[334, 19, 699, 527]"
103,"[344, 19, 698, 525]"
104,"[345, 20, 698, 525]"
105,"[345, 19, 699, 526]"
106,"[338, 19, 702, 526]"
107,"[338, 27, 702, 526]"
108,"[338, 26, 701, 527]"
109,"[338, 26, 701, 527]"
110,"[337, 26, 701, 526]"
111,"[336, 26, 702, 526]"
112,"[336, 25, 702, 526]"
113,"[336, 25, 701, 526]"
114,"[336, 25, 701, 527]"
115,"[336, 25, 701, 527]"
116,"[336, 25, 701, 528]"
117,"[336, 26, 701, 528]"
118,"[338, 26, 701, 528]"
119,"[337, 26, 701, 528]"
120,"[336, 25, 700, 528]"
121,"[336, 25, 702, 528]"
122,"[336, 26, 702, 528]"
123,"[335, 26, 701, 528]"
124,"[335, 26, 700, 528]"
125,"[336, 27, 701, 529]"
126,"[337, 27, 701, 529]"
127,"[337, 27, 700, 529]"
128,"[337, 26, 700, 528]"
129,"[335, 26, 699, 528]"
130,"[335, 26, 699, 528]"
131,"[335, 26, 699, 528]"
132,"[336, 26, 699, 528]"
133,"[335, 26, 699, 528]"
134,"[335, 26, 699, 528]"
135,"[335, 26, 699, 528]"
136,"[336, 26, 699, 528]"
137,"[337, 26, 699, 528]"
138,"[337, 26, 699, 528]"
139,"[337, 26, 700, 527]"
140,"[337, 26, 700, 527]"
141,"[337, 26, 699, 527]"
142,"[337, 22, 700, 528]"
143,"[336, 22, 700, 528]"
144,"[336, 22, 701, 528]"
145,"[338, 25, 701, 528]"
146,"[339, 24, 701, 528]"
147,"[340, 24, 701, 527]"
148,"[339, 23, 701, 528]"
149,"[339, 23, 700, 528]"
150,"[338, 23, 700, 527]"
151,"[337, 23, 699, 527]"
152,"[336, 23, 699, 528]"
153,"[336, 23, 699, 528]"
154,"[336, 25, 699, 528]"
155,"[336, 25, 700, 528]"
156,"[336, 23, 700, 528]"
157,"[336, 23, 699, 528]"
158,"[337, 24, 699, 528]"
159,"[336, 24, 699, 528]"
160,"[335, 25, 698, 528]"
161,"[334, 25, 698, 528]"
162,"[334, 25, 698, 528]"
163,"[334, 25, 698, 528]"
164,"[335, 25, 698, 528]"
