FrameNumber,ROI
1,"[245, 1, 799, 526]"
2,"[232, 0, 821, 530]"
3,"[208, 0, 849, 534]"
4,"[208, 0, 849, 536]"
5,"[213, 0, 838, 537]"
6,"[229, 0, 804, 538]"
7,"[226, 0, 774, 538]"
8,"[226, 0, 757, 536]"
9,"[243, 2, 756, 534]"
10,"[247, 2, 751, 533]"
11,"[250, 2, 748, 533]"
12,"[254, 2, 747, 532]"
13,"[256, 2, 746, 533]"
14,"[259, 3, 743, 533]"
15,"[259, 3, 745, 533]"
16,"[264, 3, 745, 530]"
17,"[266, 2, 744, 528]"
18,"[270, 1, 742, 530]"
19,"[273, 0, 732, 530]"
20,"[274, 0, 723, 530]"
21,"[277, 2, 712, 531]"
22,"[289, 2, 705, 532]"
23,"[297, 3, 704, 532]"
24,"[301, 4, 703, 532]"
25,"[304, 4, 702, 533]"
26,"[304, 4, 701, 534]"
27,"[301, 4, 702, 534]"
28,"[301, 6, 707, 534]"
29,"[301, 5, 708, 534]"
30,"[304, 5, 708, 534]"
31,"[302, 4, 704, 534]"
32,"[298, 4, 705, 534]"
33,"[298, 5, 705, 534]"
34,"[298, 6, 702, 533]"
35,"[297, 7, 702, 534]"
36,"[297, 7, 703, 534]"
37,"[298, 7, 703, 534]"
38,"[295, 7, 705, 534]"
39,"[293, 7, 705, 534]"
40,"[293, 8, 703, 534]"
41,"[295, 8, 703, 533]"
42,"[295, 9, 702, 533]"
43,"[295, 9, 703, 532]"
44,"[291, 8, 703, 532]"
45,"[291, 8, 701, 533]"
46,"[294, 9, 701, 533]"
47,"[294, 9, 701, 533]"
48,"[295, 8, 701, 533]"
49,"[294, 8, 703, 533]"
50,"[294, 8, 703, 533]"
51,"[294, 8, 704, 532]"
52,"[294, 8, 704, 533]"
53,"[294, 8, 703, 533]"
54,"[295, 8, 703, 533]"
55,"[295, 8, 703, 533]"
56,"[295, 9, 700, 533]"
57,"[294, 10, 698, 533]"
58,"[293, 10, 702, 532]"
59,"[293, 11, 702, 534]"
60,"[293, 11, 698, 534]"
61,"[295, 10, 698, 533]"
62,"[296, 10, 701, 533]"
63,"[294, 10, 701, 533]"
64,"[294, 10, 702, 533]"
65,"[294, 10, 704, 533]"
66,"[293, 11, 704, 532]"
67,"[290, 10, 705, 532]"
68,"[290, 9, 706, 532]"
69,"[290, 8, 706, 532]"
70,"[282, 6, 707, 531]"
71,"[282, 6, 708, 531]"
72,"[282, 6, 708, 531]"
73,"[278, 7, 699, 531]"
74,"[274, 7, 699, 531]"
75,"[274, 7, 699, 531]"
76,"[269, 7, 694, 533]"
77,"[269, 7, 692, 533]"
78,"[266, 6, 691, 531]"
79,"[266, 6, 693, 531]"
80,"[269, 8, 693, 531]"
81,"[269, 8, 689, 531]"
82,"[273, 8, 688, 533]"
83,"[268, 6, 692, 533]"
84,"[268, 6, 694, 532]"
85,"[269, 6, 694, 532]"
86,"[272, 6, 697, 531]"
87,"[272, 5, 697, 531]"
88,"[279, 5, 703, 531]"
89,"[281, 5, 710, 530]"
90,"[281, 5, 714, 530]"
91,"[292, 5, 717, 531]"
92,"[294, 4, 717, 532]"
93,"[296, 4, 716, 533]"
94,"[298, 4, 717, 533]"
95,"[301, 4, 718, 533]"
96,"[304, 4, 718, 533]"
97,"[302, 4, 716, 533]"
98,"[301, 4, 716, 533]"
99,"[301, 4, 714, 533]"
100,"[304, 5, 713, 533]"
101,"[302, 4, 711, 533]"
102,"[301, 3, 715, 533]"
103,"[299, 3, 719, 534]"
104,"[299, 3, 719, 534]"
105,"[302, 3, 719, 534]"
106,"[301, 4, 717, 533]"
107,"[301, 4, 717, 532]"
108,"[299, 4, 717, 532]"
109,"[298, 4, 718, 532]"
110,"[298, 5, 720, 533]"
111,"[298, 6, 720, 533]"
112,"[300, 6, 720, 532]"
113,"[299, 6, 718, 533]"
114,"[299, 6, 719, 534]"
115,"[299, 7, 721, 534]"
116,"[299, 7, 721, 534]"
117,"[301, 7, 722, 535]"
118,"[303, 6, 722, 535]"
119,"[303, 6, 721, 535]"
120,"[301, 7, 723, 534]"
121,"[300, 6, 723, 534]"
122,"[300, 5, 721, 534]"
123,"[301, 5, 720, 535]"
124,"[301, 6, 717, 535]"
125,"[300, 5, 717, 535]"
126,"[299, 5, 716, 534]"
127,"[299, 5, 718, 534]"
128,"[299, 5, 719, 534]"
129,"[296, 6, 719, 534]"
130,"[296, 6, 719, 533]"
131,"[298, 7, 718, 533]"
132,"[299, 7, 718, 534]"
133,"[300, 7, 718, 534]"
134,"[300, 7, 715, 533]"
135,"[304, 8, 714, 532]"
136,"[304, 7, 714, 533]"
137,"[305, 7, 717, 533]"
138,"[306, 7, 717, 533]"
139,"[305, 7, 717, 534]"
