Frame,ME
1,0
1,30.050750220653132
2,28.310314685314687
3,27.505338078291814
4,28.372
5,26.377253814147018
6,28.288716308816813
7,26.13443396226415
8,26.444279346210994
9,27.305494505494504
10,25.59726962457338
11,26.97829716193656
12,24.425531914893618
13,25.274058577405857
14,25.49100968188105
15,25.2827140549273
16,28.107731305449935
17,27.996044825313117
18,29.05210918114144
19,28.48338809784593
20,28.40686274509804
21,29.724470734744706
22,27.616048317515098
23,28.245551601423486
24,27.329218106995885
25,25.9645390070922
26,29.221020092735703
27,24.324324324324323
28,25.269076305220885
29,28.240837696335078
30,29.538930264048748
31,29.102826012938372
32,28.521706016755523
33,30.693757855048176
34,29.304622871046227
35,29.453197405004634
36,31.892738490745135
37,31.98204081632653
38,31.631911532385466
39,32.017574692442885
40,29.76236263736264
41,30.605063291139242
42,34.15302491103203
43,34.267845003399046
44,35.26130653266332
45,37.60320641282565
46,30.026497695852534
47,26.97222222222222
48,33.07353906762968
49,32.92123287671233
50,35.411167512690355
51,28.933333333333334
52,31.796437659033078
53,34.00530035335689
54,27.115264797507788
55,30.533783783783782
56,28.915032679738562
57,27.983333333333334
58,32.865671641791046
59,31.523809523809526
60,27.09090909090909
61,26.919354838709676
62,25.074074074074073
63,26.40875912408759
64,27.202898550724637
65,23.333333333333332
66,27.736842105263158
67,25.5
68,31.2
69,25.94736842105263
70,26.41176470588235
71,21.0
72,0.0
73,26.0
74,29.46
75,0.0
76,22.275
77,28.333333333333332
78,25.206349206349206
79,0.0
80,0.0
81,22.0
82,0.0
83,0.0
84,0.0
85,0.0
86,23.142857142857142
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,21.0
95,23.714285714285715
96,22.866666666666667
97,22.0
98,22.647058823529413
99,23.763157894736842
100,0.0
101,25.31578947368421
102,25.0
103,23.333333333333332
104,23.142857142857142
105,25.5
106,0.0
107,0.0
108,22.666666666666668
109,0.0
110,0.0
111,25.3
112,0.0
113,0.0
114,23.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
