FrameNumber,ROI
1,"[252, 37, 628, 539]"
2,"[251, 37, 628, 539]"
3,"[251, 38, 628, 540]"
4,"[252, 38, 625, 540]"
5,"[252, 38, 626, 540]"
6,"[250, 38, 629, 540]"
7,"[249, 38, 629, 540]"
8,"[249, 37, 630, 540]"
9,"[251, 37, 630, 540]"
10,"[251, 37, 630, 540]"
11,"[250, 37, 629, 540]"
12,"[250, 38, 628, 540]"
13,"[251, 38, 627, 539]"
14,"[251, 38, 627, 539]"
15,"[251, 37, 629, 539]"
16,"[252, 37, 629, 540]"
17,"[252, 37, 629, 540]"
18,"[252, 37, 629, 539]"
19,"[253, 37, 629, 539]"
20,"[252, 38, 628, 539]"
21,"[252, 38, 630, 539]"
22,"[251, 38, 630, 540]"
23,"[251, 38, 630, 540]"
24,"[250, 38, 629, 540]"
25,"[250, 38, 629, 539]"
26,"[250, 38, 629, 539]"
27,"[250, 39, 629, 539]"
28,"[251, 39, 629, 539]"
29,"[252, 39, 628, 539]"
30,"[251, 39, 628, 539]"
31,"[251, 39, 628, 539]"
32,"[251, 39, 629, 539]"
33,"[251, 39, 629, 539]"
34,"[251, 39, 628, 539]"
35,"[251, 39, 627, 539]"
36,"[250, 39, 627, 539]"
37,"[250, 39, 629, 539]"
38,"[251, 39, 629, 539]"
39,"[251, 39, 628, 539]"
40,"[251, 40, 628, 539]"
41,"[250, 40, 627, 539]"
42,"[250, 40, 627, 539]"
43,"[250, 40, 628, 539]"
44,"[250, 40, 628, 539]"
45,"[250, 40, 628, 539]"
46,"[251, 40, 628, 539]"
47,"[251, 39, 628, 539]"
48,"[251, 39, 628, 539]"
49,"[251, 40, 627, 539]"
50,"[251, 40, 626, 539]"
51,"[251, 39, 626, 539]"
52,"[250, 39, 627, 539]"
53,"[250, 39, 629, 539]"
54,"[250, 38, 629, 540]"
55,"[251, 38, 629, 540]"
56,"[251, 38, 629, 540]"
57,"[251, 38, 628, 540]"
58,"[251, 38, 628, 540]"
59,"[251, 38, 627, 540]"
60,"[251, 38, 627, 540]"
61,"[251, 38, 628, 539]"
62,"[251, 38, 628, 539]"
63,"[251, 38, 627, 540]"
64,"[251, 38, 629, 540]"
65,"[251, 39, 629, 540]"
66,"[251, 39, 629, 540]"
67,"[251, 39, 628, 539]"
68,"[251, 39, 629, 539]"
69,"[251, 38, 629, 540]"
70,"[252, 38, 630, 540]"
71,"[252, 38, 630, 540]"
72,"[250, 38, 628, 539]"
73,"[250, 39, 627, 539]"
74,"[251, 39, 627, 539]"
75,"[251, 39, 627, 539]"
76,"[251, 39, 627, 539]"
77,"[251, 39, 627, 539]"
78,"[251, 39, 628, 539]"
79,"[251, 39, 628, 539]"
80,"[251, 39, 627, 539]"
81,"[251, 39, 627, 539]"
82,"[251, 39, 627, 539]"
83,"[251, 39, 628, 539]"
84,"[251, 39, 628, 539]"
85,"[251, 39, 627, 539]"
86,"[250, 39, 626, 539]"
87,"[250, 40, 626, 539]"
88,"[250, 40, 627, 539]"
89,"[250, 40, 627, 539]"
90,"[250, 40, 627, 539]"
91,"[250, 39, 627, 539]"
92,"[251, 39, 627, 539]"
93,"[251, 39, 627, 539]"
94,"[251, 39, 627, 539]"
95,"[251, 39, 626, 539]"
96,"[251, 39, 625, 540]"
97,"[251, 39, 625, 540]"
98,"[251, 39, 624, 539]"
99,"[251, 39, 627, 539]"
100,"[251, 39, 627, 539]"
101,"[251, 39, 627, 539]"
102,"[251, 38, 628, 539]"
103,"[251, 38, 628, 539]"
104,"[251, 38, 628, 539]"
105,"[250, 39, 628, 539]"
106,"[250, 40, 627, 539]"
107,"[251, 39, 629, 539]"
108,"[251, 39, 629, 539]"
109,"[251, 39, 629, 539]"
110,"[251, 39, 628, 540]"
111,"[251, 39, 628, 540]"
112,"[251, 39, 628, 539]"
113,"[251, 39, 628, 539]"
114,"[251, 38, 628, 539]"
115,"[251, 38, 628, 539]"
116,"[251, 38, 628, 539]"
117,"[251, 38, 629, 540]"
118,"[251, 38, 629, 540]"
119,"[251, 38, 629, 540]"
120,"[250, 39, 628, 540]"
121,"[250, 39, 629, 539]"
122,"[250, 39, 629, 539]"
123,"[250, 40, 628, 539]"
124,"[249, 40, 628, 539]"
125,"[249, 39, 627, 539]"
126,"[250, 38, 627, 539]"
127,"[250, 38, 628, 539]"
128,"[252, 38, 628, 539]"
129,"[251, 38, 629, 539]"
130,"[251, 38, 630, 539]"
131,"[251, 38, 630, 539]"
132,"[250, 38, 630, 539]"
133,"[250, 39, 630, 540]"
134,"[250, 39, 628, 540]"
135,"[250, 39, 627, 539]"
136,"[250, 39, 626, 539]"
137,"[250, 39, 626, 539]"
138,"[251, 39, 626, 539]"
139,"[251, 39, 625, 539]"
140,"[251, 39, 626, 539]"
141,"[251, 39, 628, 539]"
142,"[251, 39, 628, 539]"
143,"[251, 39, 627, 539]"
144,"[250, 40, 628, 539]"
145,"[250, 40, 628, 539]"
146,"[251, 40, 627, 539]"
147,"[250, 40, 627, 539]"
148,"[250, 40, 627, 539]"
149,"[249, 40, 626, 539]"
150,"[249, 39, 627, 539]"
151,"[250, 39, 627, 539]"
152,"[250, 39, 626, 540]"
