FrameNumber,ROI
1,"[265, 62, 632, 492]"
2,"[266, 63, 632, 491]"
3,"[264, 63, 634, 491]"
4,"[264, 63, 634, 492]"
5,"[264, 63, 636, 493]"
6,"[264, 63, 637, 493]"
7,"[264, 64, 638, 493]"
8,"[264, 64, 638, 493]"
9,"[263, 63, 637, 492]"
10,"[263, 63, 637, 491]"
11,"[263, 63, 637, 492]"
12,"[263, 63, 637, 492]"
13,"[264, 62, 637, 491]"
14,"[263, 62, 637, 492]"
15,"[263, 62, 637, 493]"
16,"[262, 62, 637, 494]"
17,"[262, 62, 637, 494]"
18,"[263, 63, 638, 494]"
19,"[264, 63, 639, 493]"
20,"[265, 64, 640, 494]"
21,"[266, 65, 640, 494]"
22,"[264, 64, 640, 494]"
23,"[264, 64, 640, 494]"
24,"[265, 64, 641, 495]"
25,"[265, 65, 641, 496]"
26,"[266, 65, 640, 496]"
27,"[266, 66, 641, 497]"
28,"[267, 66, 642, 497]"
29,"[268, 66, 646, 496]"
30,"[266, 65, 646, 494]"
31,"[265, 65, 648, 493]"
32,"[265, 65, 648, 493]"
33,"[265, 65, 647, 493]"
34,"[266, 65, 646, 494]"
35,"[267, 65, 644, 494]"
36,"[267, 66, 642, 494]"
37,"[267, 67, 641, 494]"
38,"[267, 67, 641, 494]"
39,"[266, 67, 643, 493]"
40,"[266, 67, 643, 493]"
41,"[267, 68, 642, 493]"
42,"[267, 68, 642, 493]"
43,"[267, 68, 642, 493]"
44,"[268, 68, 640, 494]"
45,"[268, 68, 640, 494]"
46,"[267, 69, 640, 494]"
47,"[267, 70, 641, 495]"
48,"[268, 70, 641, 495]"
49,"[267, 70, 641, 495]"
50,"[267, 70, 641, 495]"
51,"[267, 70, 641, 495]"
52,"[267, 70, 640, 495]"
53,"[267, 69, 641, 495]"
54,"[267, 69, 641, 495]"
55,"[267, 69, 641, 495]"
56,"[268, 69, 640, 495]"
57,"[268, 69, 640, 495]"
58,"[268, 69, 640, 495]"
59,"[268, 68, 640, 494]"
60,"[268, 68, 640, 494]"
61,"[268, 69, 639, 494]"
62,"[268, 69, 639, 495]"
63,"[269, 69, 639, 495]"
64,"[269, 69, 639, 495]"
65,"[269, 69, 639, 494]"
66,"[269, 69, 639, 494]"
67,"[269, 69, 639, 494]"
68,"[270, 69, 639, 494]"
69,"[269, 69, 639, 494]"
70,"[269, 69, 639, 494]"
71,"[270, 69, 639, 494]"
72,"[270, 69, 640, 494]"
73,"[270, 69, 640, 494]"
74,"[270, 69, 640, 494]"
75,"[270, 70, 640, 494]"
76,"[269, 70, 639, 494]"
77,"[269, 70, 639, 494]"
78,"[269, 70, 639, 494]"
79,"[268, 70, 639, 494]"
80,"[268, 70, 639, 494]"
81,"[269, 70, 639, 494]"
82,"[268, 70, 639, 494]"
83,"[268, 70, 639, 494]"
84,"[268, 70, 639, 494]"
85,"[268, 69, 640, 494]"
86,"[269, 69, 640, 494]"
87,"[269, 70, 639, 494]"
88,"[269, 70, 639, 494]"
89,"[269, 70, 639, 494]"
90,"[268, 70, 640, 494]"
91,"[268, 70, 640, 494]"
92,"[269, 70, 640, 494]"
93,"[269, 70, 640, 494]"
94,"[269, 70, 640, 494]"
95,"[269, 70, 640, 494]"
96,"[269, 69, 640, 494]"
97,"[269, 69, 640, 494]"
98,"[269, 69, 640, 494]"
99,"[269, 69, 639, 494]"
100,"[268, 68, 639, 494]"
101,"[268, 68, 639, 494]"
102,"[268, 69, 640, 494]"
103,"[269, 69, 640, 495]"
104,"[268, 70, 640, 495]"
105,"[268, 70, 640, 495]"
106,"[269, 71, 640, 494]"
107,"[269, 70, 640, 495]"
108,"[270, 70, 640, 495]"
109,"[270, 71, 640, 494]"
110,"[269, 70, 640, 494]"
111,"[268, 70, 639, 494]"
112,"[268, 70, 639, 494]"
113,"[267, 70, 639, 495]"
114,"[267, 69, 639, 495]"
115,"[267, 69, 639, 494]"
116,"[267, 69, 640, 494]"
117,"[267, 70, 640, 495]"
118,"[267, 70, 640, 495]"
119,"[268, 70, 640, 495]"
120,"[268, 70, 640, 495]"
121,"[268, 70, 639, 495]"
122,"[268, 69, 639, 495]"
123,"[269, 69, 639, 495]"
124,"[268, 69, 639, 495]"
125,"[268, 69, 639, 495]"
126,"[268, 70, 639, 495]"
127,"[269, 70, 639, 495]"
128,"[269, 70, 639, 495]"
129,"[269, 70, 639, 495]"
130,"[269, 70, 639, 495]"
131,"[268, 70, 639, 495]"
132,"[268, 69, 639, 495]"
133,"[267, 69, 639, 495]"
134,"[267, 70, 639, 495]"
135,"[268, 70, 639, 495]"
136,"[267, 70, 639, 494]"
137,"[267, 70, 639, 495]"
138,"[267, 70, 639, 495]"
139,"[267, 70, 639, 495]"
140,"[267, 70, 639, 494]"
141,"[267, 69, 639, 494]"
142,"[267, 69, 640, 495]"
143,"[267, 69, 640, 495]"
144,"[268, 69, 640, 495]"
145,"[268, 69, 640, 494]"
146,"[267, 68, 639, 495]"
147,"[267, 68, 639, 495]"
148,"[268, 69, 640, 494]"
149,"[268, 69, 640, 494]"
150,"[269, 70, 641, 495]"
151,"[270, 71, 641, 495]"
152,"[270, 71, 641, 494]"
153,"[270, 71, 641, 493]"
154,"[269, 70, 641, 493]"
155,"[268, 70, 641, 493]"
156,"[268, 71, 640, 493]"
157,"[268, 71, 640, 493]"
158,"[268, 71, 640, 492]"
159,"[267, 71, 639, 492]"
160,"[267, 71, 639, 493]"
161,"[267, 71, 640, 493]"
162,"[268, 71, 641, 494]"
163,"[269, 71, 641, 494]"
164,"[269, 71, 641, 494]"
165,"[268, 71, 640, 494]"
166,"[268, 71, 640, 494]"
167,"[268, 71, 640, 494]"
168,"[268, 71, 640, 494]"
169,"[269, 70, 640, 494]"
170,"[269, 70, 641, 494]"
171,"[269, 70, 641, 495]"
172,"[269, 70, 641, 495]"
173,"[270, 70, 642, 495]"
174,"[269, 70, 642, 495]"
175,"[269, 70, 642, 495]"
176,"[269, 70, 641, 494]"
177,"[269, 70, 641, 494]"
178,"[269, 70, 641, 494]"
179,"[269, 70, 641, 494]"
180,"[270, 71, 641, 494]"
181,"[269, 71, 640, 494]"
182,"[269, 70, 640, 494]"
183,"[269, 70, 641, 493]"
184,"[270, 70, 641, 493]"
185,"[270, 70, 641, 493]"
186,"[269, 70, 641, 493]"
187,"[269, 70, 641, 494]"
188,"[269, 70, 641, 494]"
189,"[269, 70, 641, 494]"
190,"[269, 70, 641, 494]"
191,"[269, 70, 641, 494]"
192,"[270, 70, 641, 494]"
193,"[270, 70, 641, 494]"
194,"[270, 70, 641, 493]"
195,"[270, 70, 641, 494]"
196,"[270, 71, 642, 495]"
197,"[270, 71, 642, 495]"
198,"[271, 71, 641, 495]"
199,"[270, 71, 641, 495]"
200,"[270, 71, 641, 495]"
201,"[270, 71, 641, 495]"
