Frame,ME
1,0
1,42.98337388483374
2,38.364047484454495
3,38.921414538310415
4,43.767299448867114
5,48.201953601953605
6,53.74749656391125
7,58.86942567567568
8,62.94913436494561
9,66.43228070175438
10,69.4130406714009
11,67.84586792219056
12,65.88530673779427
13,67.6970684039088
14,68.16948579161028
15,71.33025253840145
16,74.7797781707121
17,73.22026666666666
18,72.89812124733682
19,69.0786917740337
20,71.91205554386703
21,77.25530785562633
22,53.29552023121387
23,48.54684908789386
24,49.59206680584551
25,44.44429939077459
26,43.45478147987884
27,46.236614853195164
28,47.372083668543844
29,46.59738065061259
30,45.73783428320912
31,44.75581395348837
32,45.6097972972973
33,45.53238341968912
34,42.7328029948526
35,40.62906170135086
36,42.05918106206014
37,41.5797783933518
38,41.33747357293869
39,41.16646176542906
40,39.926051737653516
41,38.24766081871345
42,38.04099971918001
43,39.78945818610129
44,42.3459685191134
45,45.16292517006803
46,46.58016464131713
47,46.172317696237805
48,48.58478605388272
49,47.94644023514043
50,53.45351473922903
51,57.076602397081814
52,58.197072660742286
53,56.43409316154609
54,59.80841335162323
55,58.34595300261097
56,56.62339743589744
57,55.77725856697819
58,52.67970914127424
59,49.56371766208879
60,49.16851793081561
61,48.07492354740061
62,48.49926793557833
63,46.592045454545456
64,45.67417135709819
65,44.66422872340426
66,43.93122270742358
67,44.0990056204064
68,48.056813819577734
69,55.32687253613666
70,66.80939226519337
71,71.53796982868832
72,71.24658077304262
73,70.05123825789923
74,68.61411522027406
75,69.94674821002387
76,74.58498023715416
77,83.54187689202826
78,84.99261377174172
79,79.40182351025724
80,52.001731901627984
81,50.78876404494382
82,51.06646095418942
83,50.58951556283642
84,50.105893186003684
85,52.26789077212806
86,51.744437243465114
87,52.82211155378486
88,53.74126500627128
89,54.17234502243643
90,54.489669100512664
91,54.464406259588834
92,55.249611921763425
93,55.213862559241704
94,56.43157595566292
95,58.152918069584736
96,57.49117476851852
97,55.24789481459595
98,54.32491389207807
99,51.11254507496679
100,45.57414130131248
101,43.39003558718861
102,44.68630393996248
103,42.67638360794254
104,44.863826232247284
105,46.32894211576846
106,45.41358024691358
107,43.99453338539633
108,43.4428980761359
109,44.97261953412342
110,45.77135980746089
111,46.41638370118846
112,39.76831785345717
113,35.33712428919578
114,37.52996389891697
115,41.75675675675676
116,40.66066606660666
117,39.22998986828774
118,38.857282502443795
119,36.918952618453865
120,39.14648729446936
121,42.022944550669216
122,41.445672191528544
123,28.347708894878707
124,43.650137741046834
125,51.33783783783784
126,42.80963855421687
127,41.56103286384977
128,39.747983870967744
129,38.07142857142857
130,30.99746835443038
131,30.917547568710358
132,35.823008849557525
133,35.982594936708864
134,35.95940959409594
135,39.41469194312796
136,38.617161716171616
137,26.357142857142858
138,27.813953488372093
139,37.05822784810127
140,40.843589743589746
141,35.58688524590164
142,28.608695652173914
143,24.40740740740741
144,28.433333333333334
145,28.9366391184573
146,29.56896551724138
147,26.99492385786802
148,30.78125
149,33.97196261682243
150,28.764044943820224
151,25.636363636363637
152,33.734939759036145
153,38.138297872340424
154,30.08695652173913
155,22.791666666666668
156,28.793388429752067
157,37.38532110091743
158,28.675
159,24.11111111111111
160,29.181818181818183
161,22.933333333333334
162,22.0
163,26.06756756756757
164,25.914285714285715
165,26.567164179104477
166,23.333333333333332
167,24.095238095238095
168,26.0
169,0.0
170,25.866666666666667
171,26.68421052631579
172,23.949367088607595
173,24.102150537634408
