FrameNumber,ROI
1,"[254, 38, 733, 542]"
2,"[257, 38, 731, 543]"
3,"[261, 38, 729, 544]"
4,"[261, 39, 729, 544]"
5,"[269, 39, 729, 545]"
6,"[272, 39, 729, 545]"
7,"[267, 40, 731, 545]"
8,"[264, 40, 731, 543]"
9,"[259, 40, 731, 543]"
10,"[259, 40, 728, 542]"
11,"[261, 39, 728, 542]"
12,"[261, 38, 728, 543]"
13,"[262, 38, 728, 543]"
14,"[262, 37, 724, 543]"
15,"[264, 37, 725, 544]"
16,"[265, 38, 726, 544]"
17,"[266, 37, 730, 543]"
18,"[267, 37, 731, 543]"
19,"[269, 37, 731, 543]"
20,"[266, 38, 732, 542]"
21,"[266, 37, 732, 543]"
22,"[268, 37, 735, 544]"
23,"[269, 37, 735, 544]"
24,"[268, 37, 733, 545]"
25,"[266, 36, 728, 545]"
26,"[265, 36, 723, 545]"
27,"[264, 36, 722, 546]"
28,"[264, 36, 722, 546]"
29,"[264, 37, 729, 545]"
30,"[269, 37, 734, 544]"
31,"[271, 38, 735, 544]"
32,"[273, 38, 735, 544]"
33,"[272, 38, 735, 544]"
34,"[272, 37, 736, 544]"
35,"[270, 37, 736, 544]"
36,"[269, 37, 733, 544]"
37,"[267, 37, 731, 545]"
38,"[267, 36, 727, 545]"
39,"[269, 36, 730, 545]"
40,"[268, 36, 730, 545]"
41,"[268, 36, 731, 545]"
42,"[269, 37, 732, 545]"
43,"[270, 36, 732, 546]"
44,"[271, 36, 732, 546]"
45,"[271, 36, 732, 546]"
46,"[271, 37, 729, 546]"
47,"[270, 37, 728, 546]"
48,"[269, 37, 730, 546]"
49,"[269, 38, 730, 545]"
50,"[269, 38, 732, 545]"
51,"[269, 38, 733, 543]"
52,"[268, 38, 733, 543]"
53,"[268, 38, 735, 543]"
54,"[270, 38, 737, 544]"
55,"[270, 38, 739, 544]"
56,"[269, 37, 739, 544]"
57,"[268, 37, 736, 544]"
58,"[267, 37, 735, 544]"
59,"[267, 37, 734, 543]"
60,"[268, 37, 733, 544]"
61,"[269, 37, 733, 544]"
62,"[271, 37, 733, 544]"
63,"[271, 37, 734, 544]"
64,"[271, 37, 736, 544]"
65,"[270, 38, 736, 544]"
66,"[270, 38, 735, 544]"
67,"[271, 38, 738, 544]"
68,"[272, 37, 738, 544]"
69,"[272, 37, 737, 544]"
70,"[269, 37, 736, 544]"
71,"[268, 36, 734, 544]"
72,"[266, 36, 732, 544]"
73,"[265, 35, 730, 544]"
74,"[265, 35, 731, 544]"
75,"[267, 35, 734, 545]"
76,"[267, 35, 734, 545]"
77,"[267, 35, 732, 544]"
78,"[269, 35, 731, 544]"
79,"[269, 35, 730, 544]"
80,"[267, 35, 730, 544]"
81,"[267, 34, 730, 544]"
82,"[266, 34, 730, 544]"
83,"[266, 35, 732, 544]"
