FrameNumber,ROI
1,"[281, 36, 627, 516]"
2,"[281, 35, 628, 515]"
3,"[282, 35, 629, 516]"
4,"[282, 34, 630, 517]"
5,"[284, 34, 631, 520]"
6,"[284, 34, 632, 520]"
7,"[282, 34, 633, 520]"
8,"[281, 34, 634, 521]"
9,"[280, 34, 634, 521]"
10,"[278, 35, 636, 520]"
11,"[277, 34, 639, 520]"
12,"[276, 34, 639, 520]"
13,"[276, 36, 639, 516]"
14,"[277, 37, 638, 515]"
15,"[276, 37, 637, 516]"
16,"[274, 36, 639, 517]"
17,"[270, 35, 644, 521]"
18,"[270, 34, 644, 522]"
19,"[272, 34, 642, 522]"
20,"[272, 33, 641, 523]"
21,"[272, 33, 641, 523]"
22,"[272, 33, 641, 522]"
23,"[274, 33, 642, 520]"
24,"[275, 33, 642, 520]"
25,"[279, 34, 642, 519]"
26,"[278, 34, 643, 517]"
27,"[278, 35, 643, 517]"
28,"[281, 36, 640, 515]"
29,"[282, 36, 636, 516]"
30,"[282, 37, 635, 517]"
31,"[281, 37, 631, 517]"
32,"[281, 31, 629, 516]"
33,"[294, 31, 625, 510]"
34,"[295, 31, 623, 511]"
35,"[295, 31, 618, 511]"
36,"[295, 32, 616, 508]"
37,"[293, 32, 613, 507]"
38,"[293, 31, 610, 507]"
39,"[295, 31, 609, 507]"
40,"[296, 30, 608, 506]"
41,"[297, 30, 608, 506]"
42,"[298, 31, 608, 504]"
43,"[299, 32, 608, 505]"
44,"[299, 32, 610, 505]"
45,"[301, 31, 615, 504]"
46,"[301, 31, 615, 503]"
47,"[301, 31, 616, 502]"
48,"[303, 31, 624, 502]"
49,"[304, 31, 627, 502]"
50,"[306, 31, 629, 501]"
51,"[307, 29, 633, 501]"
52,"[309, 29, 637, 502]"
53,"[310, 30, 638, 502]"
54,"[310, 30, 641, 505]"
55,"[313, 30, 643, 506]"
56,"[314, 30, 644, 509]"
57,"[313, 30, 645, 509]"
58,"[313, 30, 645, 509]"
59,"[313, 31, 646, 505]"
60,"[316, 31, 648, 506]"
61,"[305, 31, 655, 519]"
62,"[305, 30, 659, 521]"
63,"[309, 29, 662, 522]"
64,"[311, 28, 665, 523]"
65,"[312, 27, 666, 524]"
66,"[314, 27, 671, 528]"
67,"[315, 27, 677, 528]"
68,"[319, 27, 683, 528]"
69,"[319, 26, 683, 528]"
70,"[319, 26, 683, 528]"
71,"[316, 26, 677, 527]"
72,"[312, 27, 666, 519]"
73,"[310, 30, 661, 513]"
74,"[310, 32, 654, 510]"
75,"[310, 32, 654, 509]"
76,"[313, 31, 649, 503]"
77,"[313, 31, 644, 503]"
78,"[313, 31, 644, 507]"
79,"[313, 32, 640, 507]"
80,"[312, 32, 637, 507]"
81,"[312, 32, 634, 506]"
82,"[310, 31, 632, 507]"
83,"[309, 31, 630, 508]"
84,"[308, 31, 629, 508]"
85,"[308, 31, 630, 507]"
86,"[308, 32, 630, 507]"
87,"[308, 33, 628, 507]"
88,"[308, 34, 628, 507]"
89,"[312, 36, 628, 507]"
90,"[312, 36, 628, 507]"
91,"[313, 36, 630, 506]"
92,"[314, 36, 631, 505]"
93,"[314, 34, 633, 506]"
94,"[314, 34, 635, 506]"
95,"[313, 35, 639, 506]"
96,"[313, 35, 639, 506]"
97,"[313, 37, 641, 506]"
98,"[313, 37, 643, 506]"
99,"[313, 36, 647, 506]"
100,"[313, 36, 647, 509]"
101,"[314, 35, 646, 511]"
102,"[314, 35, 646, 512]"
103,"[314, 35, 647, 512]"
104,"[314, 34, 647, 508]"
105,"[314, 34, 647, 507]"
106,"[313, 33, 647, 507]"
107,"[312, 33, 647, 507]"
108,"[312, 35, 646, 508]"
109,"[313, 36, 647, 510]"
110,"[313, 37, 647, 510]"
111,"[313, 39, 647, 509]"
112,"[312, 41, 648, 509]"
113,"[312, 41, 648, 509]"
114,"[314, 42, 649, 511]"
115,"[314, 42, 649, 512]"
