FrameNumber,ROI
1,"[222, 30, 736, 533]"
2,"[222, 30, 739, 532]"
3,"[222, 30, 741, 532]"
4,"[223, 31, 741, 532]"
5,"[223, 29, 741, 535]"
6,"[225, 29, 742, 535]"
7,"[226, 26, 742, 537]"
8,"[226, 25, 742, 537]"
9,"[226, 22, 742, 538]"
10,"[228, 22, 743, 538]"
11,"[232, 22, 743, 539]"
12,"[234, 22, 747, 540]"
13,"[239, 22, 747, 540]"
14,"[240, 24, 747, 541]"
15,"[247, 24, 747, 542]"
16,"[254, 24, 748, 542]"
17,"[260, 24, 748, 541]"
18,"[264, 24, 744, 540]"
19,"[268, 23, 743, 541]"
20,"[270, 23, 743, 541]"
21,"[270, 22, 743, 542]"
22,"[276, 22, 741, 542]"
23,"[276, 21, 743, 542]"
24,"[277, 20, 743, 542]"
25,"[281, 18, 740, 542]"
26,"[284, 18, 739, 540]"
27,"[288, 16, 739, 540]"
28,"[291, 15, 738, 540]"
29,"[297, 15, 738, 538]"
30,"[303, 16, 737, 537]"
31,"[306, 16, 736, 537]"
32,"[309, 16, 738, 536]"
33,"[313, 16, 741, 535]"
34,"[324, 5, 741, 536]"
35,"[332, 5, 741, 536]"
36,"[336, 5, 742, 533]"
37,"[336, 4, 742, 533]"
38,"[332, 4, 741, 533]"
39,"[327, 6, 741, 533]"
40,"[322, 6, 738, 533]"
41,"[318, 6, 738, 533]"
42,"[307, 6, 734, 534]"
43,"[304, 16, 723, 534]"
44,"[303, 16, 720, 533]"
45,"[303, 16, 712, 532]"
46,"[304, 16, 712, 532]"
47,"[304, 16, 714, 532]"
48,"[302, 16, 714, 532]"
49,"[302, 16, 713, 532]"
50,"[304, 16, 714, 532]"
51,"[306, 18, 715, 532]"
52,"[306, 18, 715, 532]"
53,"[309, 19, 715, 532]"
54,"[310, 5, 718, 535]"
55,"[320, 5, 721, 535]"
56,"[323, 6, 724, 535]"
57,"[324, 6, 727, 534]"
58,"[324, 7, 727, 534]"
59,"[326, 18, 725, 533]"
60,"[327, 17, 724, 533]"
61,"[327, 17, 723, 533]"
62,"[322, 18, 721, 533]"
63,"[322, 17, 719, 533]"
64,"[323, 15, 718, 533]"
65,"[326, 15, 716, 533]"
66,"[328, 17, 716, 533]"
67,"[330, 17, 713, 533]"
68,"[328, 17, 714, 532]"
69,"[328, 19, 714, 532]"
70,"[326, 20, 713, 532]"
71,"[325, 21, 710, 531]"
72,"[324, 22, 708, 530]"
73,"[321, 21, 706, 530]"
74,"[320, 21, 704, 530]"
75,"[319, 21, 704, 530]"
76,"[317, 21, 700, 529]"
77,"[317, 20, 697, 529]"
78,"[319, 20, 699, 529]"
79,"[319, 19, 699, 530]"
80,"[319, 19, 698, 530]"
81,"[319, 20, 698, 530]"
82,"[319, 19, 697, 530]"
83,"[319, 19, 698, 529]"
84,"[319, 20, 698, 529]"
85,"[319, 20, 698, 529]"
86,"[319, 20, 696, 529]"
87,"[320, 20, 697, 530]"
88,"[320, 20, 697, 530]"
89,"[321, 20, 696, 531]"
90,"[321, 20, 695, 531]"
91,"[321, 20, 695, 530]"
92,"[320, 20, 696, 530]"
93,"[320, 20, 696, 530]"
94,"[321, 21, 695, 530]"
95,"[321, 21, 695, 530]"
96,"[321, 22, 695, 530]"
97,"[320, 22, 695, 530]"
98,"[320, 22, 695, 530]"
99,"[321, 22, 695, 531]"
100,"[321, 22, 693, 531]"
101,"[321, 22, 693, 531]"
102,"[321, 21, 694, 531]"
103,"[319, 21, 694, 531]"
104,"[318, 21, 693, 530]"
105,"[317, 21, 694, 530]"
106,"[317, 20, 696, 530]"
107,"[319, 20, 696, 529]"
108,"[319, 20, 696, 529]"
109,"[319, 20, 696, 529]"
110,"[319, 20, 696, 530]"
111,"[321, 21, 697, 530]"
112,"[325, 21, 697, 530]"
113,"[324, 21, 697, 530]"
114,"[324, 22, 697, 530]"
115,"[323, 21, 697, 530]"
116,"[323, 21, 696, 531]"
117,"[323, 19, 696, 531]"
118,"[323, 19, 696, 530]"
119,"[323, 20, 696, 530]"
120,"[323, 19, 696, 530]"
121,"[324, 19, 696, 530]"
122,"[324, 20, 696, 530]"
123,"[324, 20, 696, 530]"
124,"[323, 20, 696, 530]"
125,"[323, 20, 695, 530]"
126,"[323, 20, 696, 530]"
127,"[323, 21, 696, 530]"
128,"[323, 21, 697, 530]"
129,"[323, 21, 698, 530]"
130,"[322, 21, 698, 530]"
131,"[322, 21, 697, 530]"
132,"[323, 21, 697, 530]"
133,"[322, 21, 697, 530]"
134,"[321, 21, 697, 530]"
135,"[321, 21, 696, 530]"
136,"[322, 21, 697, 530]"
137,"[322, 21, 697, 530]"
138,"[322, 21, 697, 531]"
139,"[323, 21, 697, 531]"
140,"[322, 21, 697, 530]"
141,"[321, 21, 697, 531]"
142,"[320, 21, 697, 531]"
143,"[319, 21, 697, 531]"
144,"[319, 21, 697, 531]"
145,"[321, 21, 698, 531]"
146,"[321, 21, 699, 531]"
147,"[321, 21, 699, 531]"
148,"[320, 22, 698, 531]"
149,"[320, 22, 698, 531]"
150,"[321, 21, 697, 531]"
151,"[320, 21, 696, 531]"
152,"[320, 22, 696, 531]"
153,"[320, 22, 696, 530]"
154,"[319, 21, 696, 530]"
155,"[319, 21, 696, 531]"
156,"[318, 20, 696, 531]"
157,"[318, 20, 695, 531]"
158,"[318, 20, 695, 531]"
159,"[318, 20, 695, 531]"
160,"[318, 21, 695, 531]"
161,"[318, 20, 695, 531]"
162,"[318, 20, 695, 531]"
