FrameNumber,ROI
1,"[269, 16, 693, 535]"
2,"[270, 16, 693, 535]"
3,"[271, 16, 693, 535]"
4,"[270, 16, 694, 534]"
5,"[268, 15, 695, 534]"
6,"[268, 15, 695, 534]"
7,"[267, 15, 695, 534]"
8,"[267, 15, 696, 535]"
9,"[266, 15, 698, 535]"
10,"[265, 15, 698, 535]"
11,"[265, 15, 698, 536]"
12,"[265, 15, 695, 536]"
13,"[265, 15, 695, 535]"
14,"[265, 15, 696, 536]"
15,"[264, 15, 698, 536]"
16,"[264, 14, 701, 535]"
17,"[264, 14, 702, 535]"
18,"[264, 14, 702, 535]"
19,"[265, 14, 699, 535]"
20,"[266, 15, 699, 535]"
21,"[266, 15, 694, 535]"
22,"[265, 16, 694, 535]"
23,"[265, 16, 692, 535]"
24,"[266, 16, 691, 535]"
25,"[266, 16, 692, 536]"
26,"[266, 16, 692, 536]"
27,"[266, 16, 691, 536]"
28,"[267, 16, 692, 536]"
29,"[267, 16, 692, 536]"
30,"[267, 16, 691, 536]"
31,"[267, 16, 691, 534]"
32,"[267, 16, 691, 535]"
33,"[267, 16, 691, 535]"
34,"[268, 16, 693, 535]"
35,"[268, 16, 693, 535]"
36,"[269, 16, 690, 536]"
37,"[269, 16, 690, 536]"
38,"[269, 16, 690, 536]"
39,"[270, 16, 687, 536]"
40,"[271, 16, 686, 535]"
41,"[269, 16, 686, 535]"
42,"[269, 16, 687, 535]"
43,"[268, 16, 688, 535]"
44,"[268, 16, 688, 535]"
45,"[269, 16, 690, 535]"
46,"[269, 17, 690, 534]"
47,"[269, 17, 688, 533]"
48,"[267, 16, 689, 533]"
49,"[267, 16, 690, 534]"
50,"[266, 16, 691, 534]"
51,"[264, 16, 696, 533]"
52,"[264, 16, 709, 537]"
53,"[265, 16, 711, 537]"
54,"[265, 14, 716, 539]"
55,"[264, 13, 716, 539]"
56,"[264, 13, 710, 536]"
57,"[268, 12, 707, 534]"
58,"[268, 12, 712, 534]"
59,"[273, 13, 712, 531]"
60,"[284, 13, 724, 536]"
61,"[278, 11, 724, 539]"
62,"[278, 10, 716, 539]"
63,"[282, 10, 708, 532]"
64,"[290, 13, 714, 529]"
65,"[284, 12, 727, 527]"
66,"[281, 12, 727, 527]"
67,"[277, 15, 715, 517]"
68,"[265, 13, 715, 527]"
69,"[259, 13, 680, 527]"
70,"[259, 13, 660, 530]"
71,"[281, 13, 665, 530]"
72,"[274, 13, 671, 530]"
73,"[231, 13, 671, 530]"
74,"[231, 16, 679, 530]"
75,"[278, 15, 692, 529]"
76,"[278, 12, 764, 529]"
77,"[201, 9, 811, 530]"
78,"[178, 9, 815, 530]"
79,"[178, 11, 815, 531]"
80,"[188, 11, 816, 531]"
81,"[192, 11, 816, 531]"
82,"[242, 11, 808, 532]"
83,"[256, 11, 808, 534]"
84,"[264, 11, 763, 534]"
85,"[279, 12, 757, 534]"
86,"[269, 13, 742, 535]"
87,"[269, 13, 708, 537]"
88,"[269, 13, 704, 538]"
89,"[264, 14, 706, 539]"
90,"[262, 14, 710, 539]"
91,"[262, 15, 715, 538]"
92,"[269, 16, 715, 538]"
93,"[270, 17, 708, 535]"
94,"[270, 16, 709, 534]"
95,"[270, 16, 713, 535]"
96,"[271, 17, 713, 535]"
97,"[274, 18, 713, 535]"
98,"[276, 19, 709, 535]"
99,"[278, 19, 709, 535]"
100,"[280, 18, 709, 535]"
101,"[282, 18, 706, 534]"
102,"[282, 19, 703, 534]"
103,"[281, 20, 703, 533]"
104,"[281, 21, 700, 533]"
105,"[282, 20, 701, 533]"
106,"[281, 20, 701, 532]"
107,"[281, 21, 702, 532]"
108,"[282, 21, 702, 532]"
109,"[282, 21, 698, 533]"
110,"[278, 22, 695, 533]"
111,"[278, 22, 693, 533]"
112,"[276, 22, 692, 533]"
113,"[275, 23, 689, 534]"
114,"[275, 23, 691, 534]"
115,"[276, 23, 691, 534]"
116,"[274, 22, 688, 534]"
117,"[274, 22, 689, 534]"
118,"[276, 22, 689, 535]"
119,"[277, 22, 689, 535]"
120,"[275, 22, 689, 535]"
121,"[275, 23, 690, 535]"
122,"[276, 23, 692, 535]"
123,"[278, 23, 692, 535]"
124,"[279, 23, 687, 535]"
125,"[278, 23, 683, 535]"
126,"[278, 23, 684, 536]"
127,"[277, 23, 684, 537]"
128,"[277, 22, 684, 537]"
129,"[277, 22, 685, 537]"
130,"[276, 21, 685, 536]"
131,"[276, 20, 687, 535]"
132,"[277, 20, 689, 535]"
133,"[277, 20, 694, 535]"
134,"[276, 20, 694, 535]"
135,"[274, 20, 694, 536]"
136,"[272, 21, 693, 536]"
137,"[270, 21, 691, 535]"
138,"[270, 21, 690, 534]"
139,"[272, 20, 691, 534]"
140,"[273, 20, 691, 534]"
141,"[273, 20, 688, 534]"
142,"[276, 21, 686, 534]"
143,"[276, 22, 685, 533]"
144,"[275, 21, 684, 533]"
145,"[275, 20, 685, 533]"
146,"[275, 20, 686, 534]"
147,"[273, 20, 686, 534]"
148,"[272, 20, 687, 534]"
149,"[271, 20, 688, 535]"
150,"[271, 21, 688, 535]"
151,"[271, 20, 688, 535]"
152,"[272, 20, 685, 535]"
153,"[272, 20, 684, 535]"
154,"[273, 20, 684, 535]"
155,"[275, 20, 683, 534]"
156,"[275, 21, 681, 534]"
157,"[276, 21, 682, 534]"
158,"[274, 20, 682, 535]"
159,"[272, 19, 684, 535]"
160,"[272, 19, 685, 536]"
161,"[272, 19, 685, 536]"
162,"[272, 19, 684, 535]"
163,"[272, 19, 685, 535]"
164,"[272, 19, 685, 534]"
165,"[275, 19, 683, 535]"
166,"[277, 20, 685, 535]"
167,"[276, 19, 685, 534]"
168,"[276, 19, 685, 534]"
169,"[276, 18, 685, 534]"
170,"[276, 18, 685, 535]"
171,"[276, 19, 685, 535]"
172,"[275, 18, 687, 535]"
173,"[274, 18, 687, 535]"
174,"[274, 18, 687, 535]"
175,"[274, 18, 687, 535]"
176,"[273, 18, 688, 535]"
177,"[273, 18, 688, 535]"
178,"[274, 18, 688, 535]"
179,"[276, 18, 689, 535]"
180,"[275, 18, 693, 536]"
181,"[275, 18, 693, 536]"
182,"[274, 17, 692, 535]"
183,"[273, 17, 692, 535]"
184,"[273, 18, 690, 535]"
185,"[274, 17, 690, 535]"
186,"[276, 17, 687, 535]"
187,"[276, 18, 687, 535]"
188,"[275, 19, 687, 536]"
189,"[274, 18, 687, 536]"
190,"[274, 18, 687, 535]"
191,"[273, 18, 687, 535]"
192,"[272, 17, 687, 535]"
193,"[270, 17, 689, 536]"
194,"[269, 17, 689, 536]"
195,"[269, 17, 690, 537]"
196,"[269, 18, 690, 537]"
197,"[269, 17, 689, 537]"
198,"[269, 17, 688, 537]"
199,"[270, 17, 688, 536]"
200,"[271, 18, 687, 536]"
201,"[271, 18, 687, 537]"
202,"[269, 17, 689, 537]"
203,"[269, 17, 689, 536]"
204,"[269, 17, 690, 536]"
205,"[269, 18, 690, 537]"
206,"[269, 18, 689, 537]"
207,"[269, 18, 687, 537]"
208,"[267, 18, 687, 538]"
209,"[267, 19, 687, 538]"
210,"[268, 19, 690, 538]"
211,"[268, 19, 690, 538]"
212,"[269, 19, 688, 537]"
213,"[269, 19, 687, 538]"
214,"[269, 19, 687, 538]"
215,"[269, 19, 687, 538]"
216,"[271, 19, 685, 538]"
217,"[269, 19, 685, 537]"
218,"[268, 20, 685, 537]"
219,"[268, 20, 684, 537]"
220,"[268, 20, 685, 537]"
221,"[268, 20, 685, 538]"
222,"[269, 20, 687, 538]"
223,"[269, 20, 687, 537]"
224,"[269, 20, 687, 537]"
225,"[269, 20, 688, 537]"
226,"[270, 19, 688, 537]"
227,"[270, 19, 688, 537]"
228,"[270, 19, 688, 538]"
229,"[270, 19, 688, 538]"
230,"[271, 19, 687, 538]"
231,"[273, 18, 685, 537]"
232,"[271, 17, 685, 537]"
233,"[271, 17, 685, 537]"
234,"[272, 17, 687, 536]"
235,"[272, 17, 687, 536]"
236,"[275, 18, 685, 536]"
237,"[275, 18, 685, 536]"
238,"[272, 18, 686, 536]"
239,"[272, 18, 686, 536]"
240,"[271, 18, 687, 536]"
241,"[271, 18, 688, 536]"
242,"[271, 18, 689, 537]"
243,"[271, 18, 689, 537]"
244,"[273, 18, 688, 537]"
245,"[272, 17, 689, 537]"
246,"[272, 17, 689, 536]"
247,"[272, 17, 690, 537]"
248,"[273, 17, 690, 537]"
249,"[273, 17, 691, 537]"
250,"[273, 18, 692, 537]"
251,"[273, 18, 692, 537]"
252,"[273, 17, 692, 537]"
253,"[273, 17, 691, 537]"
254,"[275, 17, 691, 536]"
255,"[272, 17, 692, 536]"
256,"[272, 17, 692, 535]"
257,"[272, 17, 691, 535]"
258,"[273, 17, 691, 535]"
259,"[273, 17, 690, 535]"
260,"[273, 16, 690, 535]"
261,"[273, 16, 690, 535]"
262,"[273, 16, 690, 536]"
263,"[274, 16, 690, 536]"
264,"[275, 16, 689, 536]"
265,"[274, 16, 689, 536]"
266,"[274, 17, 690, 535]"
267,"[274, 17, 690, 535]"
268,"[274, 17, 689, 535]"
269,"[275, 18, 688, 535]"
270,"[272, 18, 689, 535]"
271,"[270, 18, 689, 535]"
272,"[270, 18, 689, 536]"
273,"[271, 18, 688, 536]"
274,"[272, 18, 688, 536]"
275,"[272, 17, 688, 536]"
276,"[272, 17, 688, 536]"
277,"[272, 17, 688, 537]"
278,"[272, 17, 688, 537]"
279,"[273, 16, 689, 536]"
280,"[273, 16, 689, 536]"
281,"[272, 16, 690, 536]"
282,"[272, 16, 690, 536]"
283,"[271, 16, 688, 536]"
284,"[271, 16, 688, 536]"
285,"[272, 17, 687, 536]"
286,"[274, 17, 687, 535]"
287,"[275, 18, 686, 535]"
288,"[275, 18, 687, 535]"
289,"[274, 18, 688, 535]"
290,"[274, 16, 688, 535]"
291,"[274, 16, 688, 535]"
292,"[274, 16, 687, 535]"
293,"[274, 17, 687, 534]"
294,"[274, 17, 687, 534]"
295,"[274, 17, 687, 534]"
296,"[275, 17, 687, 534]"
297,"[275, 17, 687, 534]"
298,"[275, 17, 687, 534]"
299,"[275, 17, 687, 534]"
300,"[274, 17, 690, 534]"
301,"[273, 17, 690, 535]"
302,"[273, 17, 689, 535]"
303,"[274, 17, 688, 535]"
304,"[273, 16, 687, 535]"
305,"[273, 16, 687, 535]"
306,"[274, 17, 686, 535]"
