FrameNumber,ROI
1,"[329, 27, 708, 484]"
2,"[329, 28, 708, 484]"
3,"[329, 28, 707, 484]"
4,"[328, 28, 707, 484]"
5,"[328, 27, 707, 484]"
6,"[328, 27, 706, 484]"
7,"[328, 28, 706, 484]"
8,"[328, 28, 706, 484]"
9,"[327, 28, 706, 484]"
10,"[327, 28, 706, 484]"
11,"[327, 28, 705, 484]"
12,"[327, 28, 705, 483]"
13,"[327, 28, 706, 483]"
14,"[327, 28, 706, 484]"
15,"[328, 28, 706, 484]"
16,"[328, 28, 706, 482]"
17,"[328, 27, 706, 482]"
18,"[327, 27, 707, 482]"
19,"[327, 27, 707, 481]"
20,"[327, 28, 707, 481]"
21,"[327, 27, 707, 481]"
22,"[327, 27, 707, 481]"
23,"[327, 27, 707, 481]"
24,"[327, 27, 707, 481]"
25,"[327, 27, 708, 482]"
26,"[327, 27, 708, 482]"
27,"[327, 26, 708, 482]"
28,"[327, 26, 708, 482]"
29,"[328, 26, 708, 482]"
30,"[327, 26, 708, 482]"
31,"[327, 26, 708, 482]"
32,"[328, 26, 708, 482]"
33,"[328, 26, 708, 482]"
34,"[328, 26, 709, 482]"
35,"[327, 26, 710, 482]"
36,"[327, 25, 710, 482]"
37,"[327, 25, 710, 482]"
38,"[327, 26, 709, 482]"
39,"[328, 26, 710, 483]"
40,"[327, 27, 710, 483]"
41,"[326, 27, 710, 483]"
42,"[325, 28, 710, 482]"
43,"[325, 28, 710, 482]"
44,"[325, 29, 710, 481]"
45,"[325, 29, 711, 482]"
46,"[325, 29, 711, 482]"
47,"[326, 29, 710, 482]"
48,"[326, 28, 710, 482]"
49,"[326, 28, 710, 482]"
50,"[326, 28, 710, 483]"
51,"[326, 28, 710, 483]"
52,"[326, 29, 710, 484]"
53,"[325, 30, 710, 484]"
54,"[325, 29, 710, 485]"
55,"[327, 29, 710, 485]"
56,"[326, 29, 708, 484]"
57,"[326, 29, 708, 484]"
58,"[326, 29, 708, 483]"
59,"[327, 29, 706, 483]"
60,"[325, 29, 704, 482]"
61,"[321, 29, 704, 481]"
62,"[320, 27, 703, 481]"
63,"[319, 27, 701, 481]"
64,"[317, 28, 696, 481]"
65,"[316, 28, 693, 481]"
66,"[309, 28, 693, 482]"
67,"[309, 28, 686, 482]"
68,"[307, 29, 672, 481]"
69,"[303, 29, 667, 483]"
70,"[299, 30, 664, 492]"
71,"[295, 41, 657, 492]"
72,"[292, 40, 655, 493]"
73,"[292, 40, 652, 493]"
74,"[291, 41, 650, 493]"
75,"[291, 42, 652, 492]"
76,"[294, 44, 654, 491]"
77,"[297, 47, 659, 491]"
