FrameNumber,ROI
1,"[322, 28, 734, 539]"
2,"[322, 28, 733, 540]"
3,"[320, 28, 732, 540]"
4,"[316, 27, 731, 540]"
5,"[316, 26, 731, 539]"
6,"[312, 22, 734, 539]"
7,"[309, 22, 735, 538]"
8,"[306, 22, 738, 538]"
9,"[303, 22, 739, 537]"
10,"[301, 21, 739, 538]"
11,"[298, 21, 739, 538]"
12,"[293, 21, 735, 539]"
13,"[289, 22, 735, 539]"
14,"[283, 26, 729, 538]"
15,"[274, 26, 726, 540]"
16,"[274, 26, 720, 541]"
17,"[274, 29, 716, 542]"
18,"[262, 33, 718, 542]"
19,"[254, 34, 725, 539]"
20,"[251, 40, 728, 538]"
21,"[249, 36, 733, 538]"
22,"[249, 29, 736, 537]"
23,"[245, 18, 736, 541]"
24,"[245, 18, 741, 541]"
25,"[261, 16, 755, 538]"
26,"[264, 16, 755, 540]"
27,"[275, 19, 751, 540]"
28,"[282, 19, 736, 542]"
29,"[287, 22, 736, 543]"
30,"[303, 23, 736, 543]"
31,"[305, 23, 739, 542]"
32,"[308, 25, 739, 538]"
33,"[316, 26, 737, 537]"
34,"[318, 25, 732, 537]"
35,"[320, 24, 735, 536]"
36,"[320, 22, 735, 539]"
37,"[318, 22, 734, 539]"
38,"[315, 22, 732, 538]"
39,"[315, 22, 730, 538]"
40,"[317, 24, 731, 537]"
41,"[318, 26, 731, 535]"
42,"[318, 27, 732, 535]"
43,"[318, 27, 732, 535]"
44,"[318, 28, 735, 535]"
45,"[319, 28, 735, 533]"
46,"[319, 28, 737, 533]"
47,"[324, 29, 743, 532]"
48,"[323, 30, 743, 536]"
49,"[319, 30, 740, 536]"
50,"[319, 30, 740, 535]"
51,"[318, 30, 737, 535]"
52,"[315, 31, 739, 534]"
53,"[315, 30, 739, 536]"
54,"[318, 30, 737, 536]"
55,"[321, 30, 737, 536]"
56,"[322, 31, 737, 535]"
57,"[325, 31, 743, 534]"
58,"[325, 31, 743, 533]"
59,"[325, 31, 743, 532]"
60,"[325, 32, 742, 532]"
61,"[324, 32, 744, 532]"
62,"[324, 31, 744, 532]"
63,"[325, 30, 742, 534]"
64,"[324, 30, 740, 534]"
65,"[324, 31, 740, 532]"
66,"[324, 32, 740, 533]"
67,"[324, 30, 737, 534]"
68,"[324, 30, 737, 534]"
69,"[324, 30, 737, 535]"
70,"[324, 30, 734, 535]"
71,"[324, 30, 733, 535]"
72,"[324, 30, 734, 536]"
73,"[324, 32, 735, 536]"
74,"[324, 33, 736, 536]"
75,"[325, 34, 738, 535]"
76,"[325, 34, 738, 534]"
77,"[325, 34, 740, 534]"
78,"[325, 34, 740, 535]"
79,"[325, 34, 741, 535]"
80,"[326, 34, 741, 534]"
81,"[325, 32, 741, 535]"
82,"[324, 31, 738, 535]"
83,"[324, 31, 739, 535]"
84,"[324, 30, 740, 535]"
85,"[324, 30, 740, 535]"
86,"[324, 31, 739, 535]"
87,"[325, 31, 738, 536]"
88,"[324, 31, 739, 536]"
89,"[323, 30, 739, 536]"
90,"[323, 30, 737, 537]"
91,"[323, 30, 736, 537]"
92,"[323, 30, 738, 535]"
93,"[325, 31, 738, 536]"
94,"[326, 32, 739, 536]"
95,"[326, 32, 744, 535]"
96,"[328, 32, 744, 535]"
97,"[329, 32, 741, 536]"
98,"[329, 33, 741, 536]"
99,"[329, 33, 742, 536]"
100,"[328, 34, 743, 537]"
101,"[328, 34, 743, 537]"
102,"[329, 33, 741, 537]"
103,"[326, 33, 742, 538]"
104,"[325, 33, 742, 538]"
105,"[325, 33, 739, 537]"
106,"[328, 33, 739, 538]"
107,"[325, 32, 739, 538]"
108,"[323, 32, 739, 537]"
109,"[323, 32, 740, 537]"
110,"[325, 32, 741, 536]"
111,"[326, 33, 741, 535]"
112,"[326, 33, 740, 534]"
113,"[326, 34, 740, 534]"
114,"[326, 34, 740, 534]"
115,"[326, 34, 740, 534]"
116,"[326, 34, 740, 533]"
117,"[327, 34, 740, 533]"
118,"[327, 33, 740, 533]"
119,"[326, 33, 738, 534]"
120,"[325, 32, 739, 535]"
121,"[325, 32, 740, 535]"
122,"[327, 33, 742, 533]"
123,"[326, 34, 744, 533]"
124,"[323, 34, 744, 534]"
125,"[321, 33, 742, 535]"
126,"[321, 33, 739, 536]"
127,"[321, 33, 737, 536]"
128,"[321, 33, 739, 535]"
129,"[321, 33, 739, 535]"
130,"[319, 33, 737, 535]"
131,"[319, 33, 737, 535]"
132,"[321, 33, 740, 535]"
133,"[321, 33, 740, 533]"
134,"[321, 34, 740, 533]"
135,"[322, 34, 739, 535]"
136,"[322, 34, 739, 535]"
137,"[322, 34, 742, 534]"
138,"[325, 34, 742, 534]"
139,"[326, 34, 740, 534]"
140,"[326, 34, 740, 534]"
141,"[325, 34, 740, 534]"
142,"[325, 33, 741, 534]"
143,"[326, 33, 741, 535]"
144,"[325, 33, 740, 535]"
145,"[325, 34, 740, 535]"
146,"[325, 33, 740, 534]"
147,"[325, 33, 740, 534]"
148,"[325, 34, 740, 534]"
149,"[325, 34, 740, 534]"
150,"[325, 34, 739, 534]"
151,"[325, 33, 740, 533]"
152,"[325, 32, 740, 533]"
153,"[325, 32, 742, 534]"
154,"[325, 32, 742, 534]"
155,"[325, 33, 741, 534]"
156,"[325, 33, 739, 534]"
157,"[324, 32, 742, 534]"
158,"[323, 31, 742, 536]"
159,"[323, 31, 740, 536]"
160,"[324, 32, 741, 535]"
161,"[324, 32, 741, 536]"
162,"[324, 32, 744, 536]"
163,"[325, 33, 744, 535]"
164,"[323, 32, 744, 535]"
165,"[320, 31, 739, 535]"
166,"[320, 31, 737, 534]"
167,"[321, 31, 741, 534]"
168,"[323, 33, 741, 533]"
169,"[322, 33, 740, 534]"
170,"[322, 33, 736, 535]"
171,"[320, 33, 735, 535]"
172,"[320, 33, 739, 534]"
173,"[321, 33, 739, 533]"
174,"[320, 33, 739, 535]"
175,"[320, 32, 735, 535]"
176,"[320, 32, 734, 535]"
177,"[320, 33, 740, 535]"
178,"[323, 35, 741, 532]"
179,"[321, 34, 741, 533]"
180,"[321, 33, 736, 534]"
181,"[321, 32, 736, 534]"
182,"[321, 32, 740, 534]"
183,"[323, 34, 741, 533]"
184,"[322, 33, 741, 535]"
185,"[322, 33, 739, 535]"
186,"[322, 33, 738, 535]"
187,"[322, 33, 741, 535]"
188,"[322, 34, 741, 534]"
189,"[324, 34, 741, 534]"
190,"[323, 34, 741, 534]"
191,"[322, 34, 738, 534]"
192,"[322, 35, 743, 534]"
193,"[322, 34, 744, 532]"
194,"[321, 33, 744, 534]"
195,"[321, 33, 741, 534]"
196,"[320, 34, 739, 535]"
197,"[320, 34, 740, 535]"
198,"[322, 34, 740, 534]"
199,"[320, 34, 740, 535]"
200,"[320, 33, 737, 535]"
201,"[320, 33, 739, 534]"
202,"[321, 33, 741, 533]"
203,"[321, 33, 741, 532]"
204,"[321, 33, 742, 531]"
205,"[322, 34, 742, 533]"
206,"[321, 34, 742, 535]"
207,"[321, 35, 740, 535]"
208,"[322, 34, 742, 534]"
209,"[322, 34, 742, 534]"
210,"[322, 34, 742, 534]"
211,"[322, 34, 739, 534]"
212,"[323, 34, 742, 533]"
213,"[324, 34, 744, 533]"
214,"[323, 34, 744, 533]"
215,"[322, 35, 743, 534]"
216,"[321, 35, 742, 534]"
217,"[321, 36, 745, 533]"
218,"[322, 36, 745, 532]"
219,"[322, 35, 745, 533]"
220,"[322, 35, 744, 535]"
221,"[323, 35, 743, 535]"
222,"[324, 35, 744, 534]"
223,"[324, 35, 745, 532]"
224,"[324, 36, 746, 533]"
225,"[325, 36, 746, 533]"
226,"[325, 36, 746, 533]"
227,"[325, 35, 744, 533]"
228,"[325, 35, 745, 532]"
229,"[325, 36, 745, 532]"
230,"[324, 36, 745, 534]"
231,"[324, 37, 746, 534]"
232,"[324, 37, 746, 533]"
233,"[324, 37, 747, 532]"
234,"[324, 38, 748, 531]"
235,"[324, 38, 748, 531]"
236,"[325, 37, 746, 532]"
237,"[326, 37, 748, 532]"
238,"[326, 38, 748, 530]"
239,"[325, 37, 750, 529]"
240,"[325, 37, 750, 530]"
241,"[327, 38, 748, 531]"
242,"[327, 38, 749, 531]"
243,"[326, 36, 752, 530]"
244,"[326, 36, 752, 530]"
245,"[326, 36, 752, 530]"
246,"[327, 39, 752, 530]"
247,"[326, 39, 750, 530]"
248,"[326, 37, 752, 530]"
249,"[325, 36, 755, 530]"
250,"[325, 36, 755, 530]"
251,"[327, 37, 755, 529]"
252,"[327, 36, 755, 529]"
253,"[329, 36, 757, 529]"
254,"[330, 37, 757, 529]"
255,"[330, 37, 757, 529]"
256,"[331, 38, 751, 529]"
257,"[331, 38, 752, 529]"
258,"[332, 38, 754, 529]"
259,"[330, 38, 754, 528]"
260,"[329, 39, 752, 528]"
261,"[329, 38, 751, 529]"
262,"[327, 37, 750, 529]"
263,"[327, 37, 753, 529]"
264,"[328, 37, 763, 528]"
265,"[330, 38, 763, 527]"
266,"[329, 37, 761, 528]"
267,"[329, 37, 760, 528]"
