Frame,ME
1,0
1,26.217391304347824
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,26.642857142857142
12,21.0
13,0.0
14,0.0
15,21.75
16,0.0
17,0.0
18,0.0
19,22.625
20,21.0
21,22.0
22,22.625
23,23.151515151515152
24,23.206349206349206
25,24.105263157894736
26,24.416666666666668
27,23.602739726027398
28,21.666666666666668
29,0.0
30,0.0
31,0.0
32,0.0
33,22.333333333333332
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,23.2
51,24.42156862745098
52,23.11764705882353
53,22.15625
54,21.0
55,0.0
56,0.0
57,0.0
58,21.5
59,21.0
60,0.0
61,0.0
62,0.0
63,22.58823529411765
64,27.22685185185185
65,27.497206703910614
66,27.883677298311444
67,27.655889145496534
68,25.204444444444444
69,22.23076923076923
70,22.746835443037973
71,23.567099567099568
72,23.249329758713138
73,24.355963302752293
74,24.4126582278481
75,23.566539923954373
76,22.901234567901234
77,22.224137931034484
78,22.53968253968254
79,23.829268292682926
80,25.29971181556196
81,25.173277661795407
82,25.954738330975953
83,26.063492063492063
84,26.880228136882128
85,26.420405209840812
86,26.70716180371353
87,28.509425287356322
88,28.701759708737864
89,26.577803423735332
90,29.08486753480018
91,32.902772502848464
92,27.35344576911893
93,27.900456815043025
94,28.8998514746446
95,31.298542425819885
96,28.12331776984345
97,26.1692830555106
98,26.06928590390231
99,27.254833040421794
100,27.31847771657486
101,26.418731117824773
102,24.0390355912744
103,25.170040485829958
104,24.09090909090909
105,0.0
106,22.0
107,0.0
108,0.0
109,0.0
110,0.0
111,23.0
112,22.785714285714285
113,25.677884615384617
114,24.669811320754718
115,23.904761904761905
116,22.354166666666668
117,23.513513513513512
118,22.94736842105263
119,22.181818181818183
120,22.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,23.11111111111111
179,25.978494623655912
180,25.13953488372093
181,22.94736842105263
182,22.944444444444443
183,22.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,22.166666666666668
193,23.0
194,21.5
195,22.714285714285715
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,27.11023622047244
204,23.84375
205,21.0
206,23.40909090909091
207,23.5
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,22.0
216,21.0
217,22.0
218,22.642857142857142
219,22.61111111111111
220,21.77777777777778
221,23.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,29.409523809523808
230,25.155555555555555
231,23.0
232,24.346153846153847
233,21.25
234,0.0
235,0.0
236,0.0
237,0.0
