FrameNumber,ROI
188,"[325, 33, 706, 532]"
189,"[326, 33, 706, 532]"
190,"[325, 33, 704, 531]"
191,"[324, 33, 704, 531]"
192,"[324, 33, 704, 531]"
193,"[326, 33, 704, 532]"
194,"[325, 33, 704, 532]"
195,"[325, 32, 704, 532]"
196,"[324, 32, 704, 532]"
197,"[324, 32, 704, 532]"
198,"[324, 32, 704, 532]"
199,"[325, 32, 703, 532]"
200,"[325, 32, 703, 532]"
201,"[325, 32, 703, 532]"
202,"[325, 32, 704, 532]"
203,"[327, 32, 705, 532]"
204,"[328, 32, 705, 532]"
205,"[327, 32, 704, 532]"
206,"[327, 32, 706, 532]"
207,"[328, 32, 706, 532]"
208,"[326, 32, 705, 532]"
209,"[326, 33, 705, 532]"
210,"[323, 33, 706, 532]"
211,"[322, 34, 707, 532]"
212,"[322, 34, 707, 532]"
213,"[324, 33, 706, 532]"
214,"[325, 33, 706, 532]"
215,"[323, 33, 706, 531]"
216,"[323, 32, 705, 532]"
217,"[322, 32, 705, 533]"
218,"[322, 33, 705, 533]"
219,"[322, 33, 704, 532]"
220,"[323, 33, 701, 532]"
221,"[323, 33, 702, 532]"
222,"[324, 32, 702, 532]"
223,"[324, 31, 702, 532]"
224,"[325, 31, 703, 532]"
225,"[319, 31, 704, 532]"
226,"[318, 33, 704, 532]"
227,"[317, 33, 704, 533]"
228,"[317, 33, 704, 533]"
229,"[318, 33, 703, 533]"
230,"[319, 33, 703, 533]"
231,"[318, 33, 703, 533]"
232,"[318, 32, 702, 533]"
233,"[318, 32, 703, 533]"
234,"[320, 32, 703, 533]"
235,"[322, 32, 703, 532]"
236,"[322, 31, 703, 532]"
237,"[324, 31, 704, 532]"
238,"[326, 31, 704, 532]"
239,"[326, 31, 703, 532]"
240,"[323, 32, 704, 532]"
241,"[323, 32, 704, 532]"
242,"[325, 32, 703, 532]"
243,"[325, 32, 703, 532]"
244,"[325, 32, 704, 532]"
245,"[326, 31, 704, 532]"
246,"[327, 31, 703, 532]"
247,"[327, 31, 703, 532]"
248,"[327, 31, 703, 532]"
249,"[327, 31, 703, 532]"
250,"[327, 31, 702, 532]"
251,"[326, 31, 702, 532]"
252,"[326, 31, 702, 532]"
253,"[326, 31, 702, 532]"
254,"[325, 32, 702, 532]"
255,"[324, 32, 703, 532]"
256,"[324, 32, 703, 532]"
257,"[323, 32, 703, 532]"
258,"[323, 32, 704, 532]"
259,"[322, 32, 704, 532]"
260,"[322, 32, 704, 532]"
261,"[324, 32, 704, 532]"
262,"[324, 32, 704, 532]"
263,"[324, 32, 703, 532]"
264,"[325, 32, 703, 532]"
265,"[325, 32, 703, 532]"
266,"[325, 32, 703, 532]"
267,"[325, 31, 702, 532]"
268,"[325, 31, 702, 532]"
269,"[325, 31, 702, 532]"
270,"[325, 31, 703, 532]"
271,"[327, 31, 703, 531]"
272,"[327, 31, 703, 532]"
273,"[327, 31, 703, 532]"
274,"[327, 31, 702, 532]"
275,"[326, 31, 703, 532]"
276,"[325, 31, 703, 532]"
277,"[325, 32, 703, 532]"
278,"[325, 32, 703, 532]"
279,"[325, 32, 703, 532]"
280,"[328, 32, 703, 532]"
281,"[328, 32, 703, 531]"
282,"[328, 31, 703, 532]"
283,"[330, 31, 704, 532]"
284,"[328, 31, 704, 531]"
285,"[327, 32, 704, 531]"
286,"[327, 32, 703, 531]"
287,"[328, 32, 704, 531]"
288,"[328, 31, 704, 531]"
289,"[329, 31, 704, 531]"
290,"[328, 32, 704, 531]"
291,"[328, 32, 705, 531]"
292,"[328, 32, 705, 531]"
293,"[328, 31, 704, 531]"
294,"[329, 31, 704, 531]"
295,"[330, 31, 704, 531]"
296,"[329, 31, 704, 531]"
297,"[329, 31, 704, 531]"
298,"[329, 31, 704, 531]"
299,"[330, 32, 704, 531]"
300,"[329, 31, 704, 531]"
301,"[328, 31, 703, 531]"
302,"[328, 31, 702, 531]"
303,"[329, 31, 703, 531]"
304,"[330, 31, 703, 531]"
